Toronto,Brooklyn,time_rem
10-12,14-10,48M 0S
0,0,47M 45S
2,0,47M 34S
4,0,47M 21S
7,0,46M 56S
7,2,46M 41S
7,4,46M 7S
9,4,45M 38S
10,4,45M 38S
12,4,45M 23S
13,4,45M 23S
13,6,45M 6S
15,6,44M 26S
15,8,44M 11S
15,11,43M 35S
17,11,43M 3S
19,11,42M 38S
19,13,41M 52S
21,13,41M 30S
21,14,40M 58S
21,15,40M 58S
23,15,40M 42S
23,17,40M 29S
26,17,40M 23S
26,19,39M 29S
28,19,37M 57S
28,21,37M 38S
30,21,37M 27S
32,21,36M 32S
32,22,36M 22S
32,23,36M 22S
34,23,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,23,35M 47S
37,25,35M 9S
39,25,34M 46S
39,26,34M 39S
39,27,34M 39S
42,27,34M 27S
44,27,34M 7S
44,30,33M 52S
46,30,33M 36S
46,33,33M 21S
48,33,33M 8S
50,33,32M 36S
50,36,32M 21S
50,39,31M 58S
50,42,31M 30S
53,42,31M 5S
55,42,30M 32S
55,45,29M 47S
55,47,29M 21S
58,47,29M 3S
58,48,28M 34S
58,49,28M 34S
58,52,28M 18S
58,54,27M 57S
58,56,27M 36S
60,56,27M 26S
60,58,27M 7S
60,59,26M 50S
62,59,26M 31S
65,59,25M 57S
65,61,25M 37S
65,62,25M 7S
65,63,24M 29S
67,63,24M 14S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,65,22M 29S
67,68,21M 45S
68,68,21M 25S
69,68,21M 25S
69,69,21M 12S
69,70,21M 12S
Jump ball: F. VanVleet vs. K. Irving (K. Lowry gains possession),NA,21M 6S
Jump ball: A. Baynes vs. D. Jordan (P. Siakam gains possession),NA,21M 6S
69,72,20M 22S
69,74,19M 50S
70,74,19M 36S
71,74,19M 36S
71,77,19M 16S
73,77,18M 59S
73,79,18M 36S
76,79,18M 14S
77,79,17M 46S
79,79,17M 14S
79,82,16M 23S
80,82,16M 7S
81,82,16M 7S
84,82,15M 18S
84,85,14M 55S
86,85,14M 30S
Jump ball: D. Bembry vs. B. Brown (P. Siakam gains possession),NA,14M 9S
88,85,13M 28S
88,87,13M 4S
90,87,12M 54S
90,90,12M 11S
92,90,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,90,11M 6S
93,91,11M 6S
93,92,11M 6S
95,92,10M 42S
95,95,10M 13S
95,96,9M 0S
95,97,9M 0S
95,100,8M 20S
97,100,8M 3S
99,100,7M 44S
101,100,7M 4S
101,103,6M 41S
101,105,6M 12S
103,105,5M 20S
103,106,5M 3S
103,107,5M 3S
106,107,4M 35S
106,108,4M 21S
108,108,4M 11S
108,110,3M 50S
111,110,3M 45S
114,110,3M 11S
116,110,2M 37S
Jump ball: J. Green vs. C. Boucher (J. Harden gains possession),NA,2M 26S
116,113,2M 18S
119,113,1M 46S
121,113,35S
121,115,30S
121,116,20S
121,117,20S
122,117,12S
123,117,12S
End of 4th quarter,NA,0S
