Cleveland,Washington,time_rem
22-49,33-38,48M 0S
0,2,47M 46S
2,2,47M 24S
4,2,46M 59S
4,3,46M 49S
4,4,46M 49S
6,4,46M 31S
6,6,45M 38S
6,8,44M 56S
8,8,44M 38S
8,10,44M 24S
9,10,43M 57S
10,10,43M 57S
12,10,43M 32S
15,10,43M 16S
15,12,42M 34S
16,12,42M 21S
16,14,42M 3S
16,15,42M 3S
18,15,41M 28S
18,16,41M 3S
18,17,41M 3S
18,19,40M 24S
21,19,40M 5S
24,19,39M 36S
25,19,38M 52S
25,21,38M 38S
25,22,38M 20S
25,23,38M 20S
27,23,38M 6S
27,24,37M 52S
30,24,37M 13S
30,26,36M 56S
32,26,36M 46S
33,26,36M 40S
33,27,36M 34S
33,28,36M 34S
33,31,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,33,35M 30S
33,35,34M 55S
36,35,34M 37S
36,38,34M 17S
36,40,33M 55S
38,40,33M 36S
38,42,32M 47S
38,43,32M 4S
38,44,32M 4S
40,44,31M 47S
42,44,31M 26S
45,44,31M 1S
45,47,29M 47S
47,47,29M 8S
49,47,28M 35S
50,47,28M 35S
53,47,28M 6S
53,49,27M 31S
53,51,26M 39S
54,51,26M 2S
54,53,25M 41S
Jump ball: A. Gill vs. C. Sexton (D. Gafford gains possession),NA,25M 30S
56,53,25M 0S
56,56,24M 54S
56,58,24M 15S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,58,23M 42S
58,60,23M 22S
58,62,22M 26S
58,65,22M 3S
59,65,21M 42S
60,65,21M 42S
60,67,21M 1S
61,67,20M 38S
61,69,20M 13S
63,69,19M 50S
63,70,19M 35S
63,71,19M 35S
63,72,19M 35S
66,72,19M 2S
66,74,18M 49S
69,74,18M 25S
69,75,17M 38S
69,76,17M 38S
71,76,17M 29S
71,78,16M 23S
73,78,16M 7S
73,79,15M 50S
73,80,15M 50S
75,80,15M 32S
75,81,14M 38S
75,83,14M 7S
76,83,13M 54S
76,86,13M 42S
76,87,13M 42S
76,88,12M 30S
76,89,12M 30S
76,90,12M 4S
76,91,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,92,11M 50S
76,93,11M 50S
76,94,11M 28S
76,95,11M 28S
78,95,11M 10S
79,95,11M 10S
81,95,10M 43S
81,97,10M 22S
83,97,10M 6S
85,97,9M 44S
86,97,9M 44S
88,97,8M 35S
88,99,8M 17S
88,101,7M 32S
88,103,6M 57S
90,103,6M 13S
91,103,5M 44S
92,103,5M 44S
94,103,5M 21S
94,105,5M 8S
94,107,4M 32S
94,108,4M 32S
96,108,4M 19S
96,111,3M 39S
96,112,3M 37S
99,112,3M 13S
99,114,2M 59S
101,114,2M 43S
103,114,2M 23S
103,116,2M 5S
103,118,1M 38S
103,120,1M 1S
104,120,59S
105,120,59S
End of 4th quarter,NA,0S
