Houston,Denver,time_rem
0-2,1-2,48M 0S
0,0,47M 35S
0,2,47M 34S
0,3,47M 34S
2,3,47M 2S
2,5,46M 46S
2,8,46M 11S
2,10,45M 39S
5,10,45M 29S
8,10,45M 2S
8,12,44M 39S
11,12,44M 17S
11,14,44M 1S
13,14,43M 46S
14,14,42M 55S
14,17,42M 36S
17,17,42M 26S
17,20,42M 8S
19,20,41M 12S
22,20,40M 47S
22,22,40M 31S
24,22,40M 11S
25,22,39M 49S
26,22,39M 49S
26,23,39M 40S
26,25,39M 20S
26,27,38M 46S
26,30,38M 12S
26,32,37M 3S
26,33,36M 46S
Jump ball: I. Hartenstein vs. B. Thomas (J. Murray gains possession),NA,36M 29S
26,34,36M 24S
26,35,36M 0S
26,36,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,37,35M 25S
26,40,35M 18S
26,42,34M 52S
29,42,33M 46S
31,42,33M 22S
31,44,32M 40S
33,44,32M 23S
35,44,31M 44S
35,46,31M 36S
35,49,30M 58S
35,51,30M 27S
38,51,30M 17S
39,51,30M 17S
Jump ball: C. Wood vs. P. Millsap (P. Tucker gains possession),NA,29M 51S
42,51,29M 44S
43,51,29M 14S
44,51,29M 14S
44,54,29M 1S
46,54,28M 48S
46,56,28M 26S
46,59,27M 58S
48,59,27M 42S
48,61,27M 19S
48,63,26M 49S
50,63,26M 23S
50,65,26M 5S
52,65,25M 29S
53,65,25M 4S
54,65,25M 4S
55,65,25M 4S
55,67,24M 46S
58,67,24M 36S
58,70,24M 27S
60,70,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,70,23M 40S
63,73,23M 14S
64,73,22M 41S
66,73,22M 15S
66,74,22M 0S
66,75,22M 0S
66,78,21M 40S
69,78,21M 23S
69,80,21M 8S
69,82,20M 21S
69,84,19M 52S
71,84,18M 58S
71,85,18M 49S
74,85,18M 34S
76,85,18M 17S
77,85,18M 17S
77,87,17M 53S
79,87,17M 33S
79,90,17M 19S
79,92,16M 50S
79,93,15M 53S
81,93,15M 41S
81,95,15M 22S
81,97,14M 50S
81,99,14M 25S
81,102,14M 4S
81,103,13M 29S
83,103,13M 14S
83,106,12M 40S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,108,11M 0S
85,108,9M 24S
88,108,8M 58S
89,108,8M 4S
89,110,7M 32S
92,110,7M 21S
92,112,7M 0S
92,114,6M 34S
92,115,6M 8S
92,116,6M 8S
95,116,5M 52S
95,118,5M 30S
95,119,3M 37S
95,120,3M 37S
96,120,3M 10S
97,120,3M 10S
98,120,2M 47S
99,120,2M 47S
99,121,2M 36S
99,122,2M 36S
101,122,2M 24S
102,122,2M 24S
104,122,2M 5S
106,122,1M 30S
108,122,56S
111,122,36S
111,124,23S
End of 4th quarter,NA,0S
