Oklahoma City,Indiana,time_rem
20-39,27-31,48M 0S
0,0,47M 43S
2,0,46M 38S
2,3,46M 26S
5,3,46M 5S
5,6,45M 44S
7,6,45M 27S
7,9,44M 52S
7,11,44M 24S
9,11,44M 2S
9,14,43M 48S
9,16,43M 1S
12,16,42M 47S
12,18,42M 39S
14,18,42M 20S
16,18,41M 48S
18,18,41M 4S
20,18,40M 43S
22,18,40M 22S
22,21,39M 39S
22,22,39M 24S
22,23,39M 24S
24,23,38M 10S
24,26,37M 56S
26,26,37M 29S
26,29,37M 1S
26,30,36M 43S
26,31,36M 43S
28,31,36M 32S
28,34,36M 23S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,36,35M 50S
28,38,35M 26S
30,38,35M 7S
31,38,35M 7S
31,41,34M 50S
34,41,34M 32S
34,44,34M 8S
34,46,33M 44S
34,47,33M 31S
37,47,32M 43S
37,49,32M 9S
39,49,31M 52S
39,51,31M 30S
41,51,30M 54S
41,53,30M 11S
43,53,29M 52S
43,55,29M 42S
45,55,29M 23S
45,57,29M 11S
47,57,28M 41S
47,59,28M 29S
48,59,28M 12S
48,61,27M 45S
50,61,27M 32S
51,61,27M 32S
53,61,26M 57S
53,63,26M 42S
54,63,25M 46S
55,63,25M 46S
55,65,25M 25S
55,67,25M 2S
56,67,24M 17S
57,67,24M 17S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,67,23M 24S
59,69,23M 2S
61,69,22M 44S
61,71,21M 52S
61,73,21M 15S
63,73,20M 49S
65,73,20M 20S
67,73,19M 46S
68,73,19M 26S
69,73,19M 26S
71,73,18M 59S
72,73,18M 59S
72,76,18M 42S
74,76,17M 53S
74,78,17M 44S
74,80,17M 29S
74,81,17M 29S
76,81,16M 57S
76,83,16M 6S
76,86,15M 35S
78,86,15M 20S
80,86,14M 12S
80,89,14M 0S
81,89,13M 41S
84,89,13M 24S
84,91,12M 50S
86,91,12M 31S
86,93,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,95,11M 16S
88,95,10M 56S
90,95,10M 22S
90,97,10M 7S
92,97,9M 48S
94,97,9M 12S
94,99,8M 37S
97,99,8M 25S
97,101,7M 51S
97,104,7M 20S
99,104,6M 57S
99,105,6M 12S
102,105,5M 56S
104,105,5M 8S
104,107,5M 2S
104,108,5M 2S
104,110,4M 41S
104,112,4M 15S
107,112,3M 54S
107,113,3M 39S
109,113,2M 55S
109,114,2M 23S
109,115,2M 23S
109,117,1M 59S
109,118,1M 49S
111,118,1M 4S
113,118,32S
116,118,24S
116,119,17S
116,120,17S
116,121,6S
116,122,6S
End of 4th quarter,NA,0S
