Boston,Orlando,time_rem
35-31,21-45,48M 0S
0,0,47M 49S
2,0,47M 24S
2,1,47M 9S
2,2,47M 9S
5,2,46M 16S
7,2,45M 59S
10,2,45M 36S
13,2,44M 50S
13,3,44M 1S
13,4,44M 1S
15,4,43M 26S
15,6,43M 12S
17,6,42M 41S
19,6,42M 27S
21,6,41M 53S
21,7,40M 51S
24,7,40M 11S
24,10,39M 51S
27,10,39M 43S
27,12,39M 16S
29,12,38M 55S
29,14,38M 41S
29,16,38M 22S
29,19,37M 59S
31,19,37M 36S
31,22,37M 21S
33,22,37M 5S
36,22,36M 32S
36,24,36M 9S
39,24,36M 3S
39,25,36M 0S
39,26,36M 0S
39,27,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,29,33M 18S
40,29,32M 39S
41,29,32M 39S
41,31,31M 24S
43,31,31M 9S
43,33,30M 50S
43,35,30M 29S
44,35,29M 54S
46,35,29M 13S
46,37,28M 53S
46,39,28M 32S
46,40,28M 5S
46,41,28M 5S
48,41,27M 52S
51,41,27M 26S
51,42,27M 8S
53,42,26M 44S
53,44,26M 27S
56,44,26M 12S
59,44,25M 44S
61,44,25M 1S
61,45,24M 42S
63,45,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,45,23M 25S
65,47,23M 6S
65,49,22M 43S
Jump ball: M. Bamba vs. R. Williams (C. Anthony gains possession),NA,22M 20S
65,50,21M 26S
68,50,21M 18S
70,50,20M 53S
71,50,20M 29S
72,50,20M 29S
73,50,20M 29S
76,50,19M 33S
76,52,19M 10S
76,53,18M 53S
76,54,18M 53S
78,54,18M 37S
78,56,18M 22S
78,58,18M 9S
80,58,17M 47S
80,60,17M 22S
80,62,16M 58S
80,64,16M 41S
81,64,16M 30S
81,65,16M 10S
81,66,16M 10S
84,66,15M 54S
87,66,15M 28S
90,66,14M 45S
90,67,14M 31S
90,68,14M 31S
92,68,14M 14S
94,68,13M 48S
97,68,13M 24S
97,70,13M 3S
97,72,12M 43S
97,73,12M 43S
100,73,12M 29S
100,74,12M 19S
100,75,12M 19S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
103,75,11M 40S
103,76,11M 18S
103,77,11M 18S
106,77,11M 9S
106,80,10M 52S
108,80,10M 34S
110,80,10M 8S
110,82,9M 40S
112,82,8M 34S
112,84,7M 29S
112,86,6M 31S
114,86,6M 6S
117,86,5M 31S
117,88,5M 13S
120,88,4M 48S
122,88,4M 7S
122,90,3M 37S
124,90,3M 23S
124,93,3M 7S
124,96,2M 45S
125,96,2M 4S
126,96,2M 4S
128,96,1M 41S
130,96,1M 19S
132,96,45S
End of 4th quarter,NA,0S
