Washington,Detroit,time_rem
17-30,14-34,48M 0S
2,0,47M 40S
4,0,46M 48S
4,2,46M 28S
4,4,45M 14S
4,6,44M 52S
4,7,44M 23S
4,8,44M 23S
4,10,44M 9S
6,10,43M 27S
6,12,42M 55S
6,14,42M 32S
8,14,41M 52S
8,17,41M 34S
8,19,41M 12S
10,19,40M 52S
10,21,40M 12S
12,21,39M 54S
12,23,39M 46S
14,23,39M 35S
14,25,39M 14S
16,25,38M 55S
16,27,38M 42S
18,27,38M 29S
18,30,38M 7S
20,30,36M 59S
22,30,36M 38S
22,32,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,35,35M 39S
24,35,35M 24S
26,35,34M 47S
26,37,34M 37S
29,37,34M 14S
29,39,33M 51S
31,39,33M 40S
31,40,33M 20S
31,41,33M 20S
33,41,32M 43S
33,43,32M 31S
36,43,31M 27S
36,45,31M 8S
36,46,30M 10S
36,47,30M 10S
38,47,29M 42S
38,49,29M 21S
40,49,28M 50S
40,51,28M 11S
40,53,27M 35S
42,53,26M 31S
42,56,26M 21S
42,57,25M 30S
42,58,25M 30S
44,58,25M 6S
44,59,24M 56S
44,60,24M 56S
44,63,24M 24S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
46,63,23M 27S
48,63,22M 46S
48,65,22M 22S
48,66,21M 55S
48,67,21M 25S
50,67,20M 14S
Jump ball: M. Plumlee vs. A. Len (G. Mathews gains possession),NA,19M 41S
50,70,19M 31S
52,70,19M 16S
54,70,18M 42S
54,72,18M 23S
56,72,17M 46S
56,75,17M 24S
56,77,17M 6S
56,78,16M 45S
58,78,16M 33S
60,78,16M 13S
60,79,15M 42S
60,80,15M 42S
62,80,15M 31S
63,80,15M 31S
64,80,14M 53S
64,82,14M 32S
66,82,14M 6S
66,85,13M 44S
68,85,13M 13S
68,87,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
70,87,11M 10S
70,89,10M 50S
71,89,10M 36S
71,92,9M 58S
73,92,9M 39S
73,94,9M 21S
76,94,9M 7S
76,97,8M 45S
76,100,8M 7S
76,102,7M 47S
77,102,7M 32S
77,104,6M 55S
79,104,6M 40S
79,106,6M 6S
82,106,5M 48S
82,107,5M 30S
82,109,5M 15S
85,109,5M 5S
85,111,4M 40S
85,113,3M 23S
86,113,2M 45S
87,113,2M 45S
87,115,2M 26S
87,118,1M 52S
89,118,1M 40S
91,118,54S
91,119,42S
91,120,42S
End of 4th quarter,NA,0S
