New York,LA Clippers,time_rem
38-30,45-23,48M 0S
0,0,47M 46S
0,3,46M 53S
0,4,46M 17S
0,5,46M 17S
0,8,45M 39S
0,10,45M 8S
1,10,44M 54S
4,10,44M 27S
7,10,43M 20S
7,13,42M 9S
9,13,41M 55S
11,13,41M 8S
13,13,40M 9S
13,15,39M 54S
15,15,39M 3S
15,17,38M 52S
18,17,38M 38S
18,19,38M 24S
20,19,38M 12S
22,19,37M 45S
22,20,37M 35S
22,21,37M 35S
24,21,37M 22S
26,21,37M 5S
26,24,36M 47S
26,27,36M 31S
26,29,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,32,35M 40S
29,32,34M 52S
32,32,34M 12S
34,32,33M 44S
34,34,33M 32S
36,34,33M 22S
36,37,32M 47S
38,37,32M 31S
38,39,32M 23S
38,41,32M 1S
38,43,31M 35S
38,44,30M 54S
38,45,30M 54S
38,47,30M 16S
40,47,29M 39S
40,49,28M 41S
42,49,28M 5S
44,49,27M 45S
45,49,27M 45S
47,49,26M 49S
47,50,26M 36S
49,50,26M 9S
49,52,25M 22S
51,52,24M 59S
51,53,24M 54S
51,54,24M 54S
53,54,24M 33S
56,54,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,56,21M 46S
58,56,21M 25S
58,58,21M 12S
60,58,20M 24S
61,58,20M 24S
61,60,20M 5S
61,62,19M 1S
64,62,18M 47S
64,65,18M 29S
67,65,18M 19S
69,65,18M 2S
69,66,17M 47S
69,67,17M 47S
72,67,17M 15S
72,69,16M 47S
74,69,16M 31S
76,69,14M 39S
79,69,14M 10S
79,71,12M 45S
79,74,12M 23S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,76,11M 18S
81,76,11M 2S
84,76,10M 25S
85,76,9M 49S
86,76,9M 49S
86,79,9M 28S
86,81,9M 9S
88,81,8M 54S
88,83,7M 49S
91,83,7M 13S
91,85,5M 47S
94,85,5M 26S
94,87,5M 12S
96,87,4M 25S
96,90,4M 22S
98,90,2M 52S
Jump ball: K. Leonard vs. T. Gibson (N. Batum gains possession),NA,2M 8S
98,92,1M 53S
100,92,1M 6S
100,94,1M 0S
102,94,39S
102,95,32S
102,96,32S
102,97,32S
103,97,23S
104,97,23S
104,100,10S
105,100,6S
106,100,6S
End of 4th quarter,NA,0S
