Brooklyn,Indiana,time_rem
28-13,17-22,48M 0S
0,0,47M 51S
2,0,47M 49S
2,2,47M 32S
2,4,46M 59S
5,4,46M 46S
5,6,46M 27S
7,6,46M 9S
7,9,45M 41S
9,9,44M 55S
10,9,44M 13S
11,9,44M 13S
12,9,43M 59S
13,9,43M 59S
15,9,43M 29S
15,11,43M 11S
15,14,42M 15S
15,17,41M 36S
17,17,41M 19S
18,17,41M 19S
18,19,40M 42S
18,21,40M 8S
19,21,39M 48S
19,23,39M 36S
19,24,39M 36S
22,24,39M 23S
22,26,39M 8S
22,28,38M 55S
22,31,38M 25S
24,31,37M 44S
24,33,37M 36S
24,36,37M 10S
25,36,37M 0S
25,38,36M 49S
25,40,36M 36S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,41,35M 41S
27,41,35M 26S
27,43,35M 4S
30,43,34M 15S
31,43,33M 47S
32,43,33M 47S
32,45,33M 29S
33,45,33M 17S
34,45,33M 17S
36,45,32M 55S
38,45,31M 57S
38,46,31M 39S
38,47,31M 39S
39,47,31M 32S
40,47,31M 31S
40,49,31M 13S
42,49,30M 32S
44,49,29M 45S
45,49,29M 0S
45,51,28M 41S
45,53,28M 21S
48,53,28M 3S
49,53,27M 28S
49,54,26M 54S
49,55,26M 54S
50,55,26M 37S
51,55,26M 37S
51,57,26M 13S
53,57,25M 58S
53,59,25M 39S
55,59,25M 0S
55,60,24M 40S
55,61,24M 40S
58,61,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,61,23M 29S
60,64,23M 11S
61,64,22M 16S
63,64,21M 47S
63,67,21M 13S
63,68,20M 54S
63,70,20M 38S
66,70,20M 15S
66,72,20M 7S
68,72,19M 33S
68,74,19M 20S
70,74,19M 6S
70,75,18M 54S
70,76,18M 54S
72,76,18M 44S
72,78,18M 28S
72,80,17M 59S
74,80,17M 42S
74,81,17M 22S
74,82,17M 22S
76,82,16M 21S
78,82,15M 44S
78,84,15M 18S
78,86,14M 49S
78,87,14M 49S
80,87,14M 9S
81,87,13M 20S
82,87,13M 20S
84,87,13M 1S
84,89,12M 46S
86,89,12M 29S
86,90,12M 27S
86,91,12M 27S
89,91,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,93,11M 3S
89,94,11M 3S
92,94,10M 53S
92,96,10M 27S
94,96,9M 43S
96,96,9M 16S
98,96,8M 56S
98,98,8M 35S
99,98,8M 2S
100,98,8M 2S
103,98,7M 11S
105,98,6M 30S
105,100,6M 9S
106,100,5M 53S
107,100,5M 53S
109,100,5M 23S
109,101,3M 23S
111,101,3M 0S
111,104,2M 46S
113,104,2M 18S
113,105,1M 31S
113,106,1M 31S
115,106,1M 12S
115,108,1M 5S
115,111,1M 0S
116,111,59S
118,111,35S
118,113,30S
119,113,26S
120,113,26S
121,113,17S
122,113,17S
122,115,12S
123,115,9S
124,115,9S
End of 4th quarter,NA,0S
