Atlanta,Minnesota,time_rem
8-7,3-11,48M 0S
0,0,47M 36S
1,0,47M 12S
2,0,47M 12S
2,1,46M 7S
2,2,46M 7S
3,2,45M 56S
4,2,45M 56S
4,5,45M 35S
6,5,45M 15S
6,7,44M 24S
8,7,44M 6S
10,7,43M 36S
12,7,42M 15S
12,9,41M 47S
12,11,41M 25S
14,11,41M 0S
14,13,40M 43S
14,15,40M 16S
16,15,39M 53S
18,15,39M 6S
18,17,38M 43S
18,19,38M 9S
19,19,37M 51S
20,19,37M 51S
Jump ball: J. Culver vs. C. Capela (J. McDaniels gains possession),NA,37M 22S
22,19,37M 3S
25,19,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,21,35M 28S
27,21,34M 57S
29,21,34M 35S
30,21,34M 35S
31,21,33M 40S
32,21,33M 22S
32,24,32M 57S
34,24,32M 18S
37,24,31M 53S
37,25,31M 38S
37,26,31M 38S
40,26,30M 52S
42,26,30M 10S
42,28,29M 35S
43,28,29M 9S
44,28,29M 9S
45,28,28M 50S
46,28,28M 50S
46,29,28M 41S
46,30,28M 41S
48,30,28M 18S
48,33,28M 1S
50,33,27M 48S
50,35,27M 30S
53,35,27M 20S
56,35,26M 54S
56,37,26M 1S
57,37,24M 48S
60,37,24M 43S
60,39,24M 32S
60,40,24M 32S
62,40,24M 28S
62,43,24M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,45,23M 40S
64,45,23M 32S
66,45,23M 5S
66,48,22M 19S
69,48,21M 25S
70,48,20M 54S
70,50,20M 43S
70,53,20M 18S
70,55,19M 49S
70,57,19M 16S
73,57,18M 58S
73,59,18M 36S
76,59,17M 35S
77,59,16M 57S
79,59,16M 37S
81,59,16M 0S
84,59,15M 35S
84,61,15M 15S
87,61,14M 58S
87,63,14M 22S
87,65,13M 19S
88,65,13M 5S
89,65,13M 5S
92,65,12M 24S
92,67,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,67,11M 5S
94,67,11M 5S
94,69,10M 51S
95,69,10M 31S
97,69,10M 5S
97,71,10M 1S
97,72,10M 1S
97,74,9M 26S
97,76,8M 48S
97,78,7M 23S
99,78,7M 5S
102,78,5M 55S
102,80,5M 41S
104,80,5M 22S
104,82,5M 5S
104,85,4M 39S
105,85,3M 50S
106,85,3M 50S
108,85,2M 55S
108,88,2M 46S
108,90,2M 14S
111,90,1M 56S
111,92,1M 40S
114,92,1M 23S
114,94,48S
114,96,30S
115,96,16S
116,96,16S
116,97,9S
116,98,9S
End of 4th quarter,NA,0S
