Sacramento,San Antonio,time_rem
22-25,23-21,48M 0S
0,0,47M 43S
3,0,47M 24S
4,0,47M 1S
4,2,46M 46S
7,2,46M 28S
7,3,46M 13S
8,3,46M 0S
8,5,45M 40S
10,5,45M 28S
10,7,45M 17S
10,10,44M 50S
13,10,44M 38S
13,12,44M 25S
16,12,43M 37S
16,14,43M 21S
16,16,42M 48S
18,16,42M 35S
18,18,42M 13S
18,20,41M 47S
20,20,41M 6S
20,22,40M 52S
20,24,40M 18S
20,26,39M 47S
21,26,38M 9S
22,26,38M 9S
23,26,37M 18S
24,26,37M 18S
27,26,36M 54S
27,28,36M 33S
27,31,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,31,35M 41S
32,31,35M 21S
32,33,35M 6S
34,33,34M 53S
37,33,34M 28S
37,35,33M 34S
40,35,33M 22S
40,37,32M 46S
40,39,32M 10S
41,39,31M 53S
42,39,31M 53S
42,41,31M 33S
44,41,30M 33S
44,44,30M 7S
46,44,29M 48S
46,46,29M 28S
49,46,29M 11S
49,48,28M 55S
51,48,28M 45S
53,48,28M 27S
53,50,28M 4S
55,50,27M 47S
58,50,27M 26S
58,53,27M 1S
59,53,26M 43S
60,53,26M 43S
60,56,26M 17S
60,58,25M 51S
60,60,25M 25S
62,60,25M 19S
63,60,25M 19S
66,60,24M 54S
68,60,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,60,23M 19S
70,62,23M 4S
73,62,22M 47S
75,62,21M 48S
75,63,21M 40S
75,65,21M 13S
77,65,21M 5S
78,65,20M 33S
79,65,20M 33S
79,67,20M 19S
81,67,20M 4S
81,68,19M 14S
81,69,19M 14S
84,69,18M 58S
84,71,18M 31S
87,71,18M 16S
87,73,17M 57S
88,73,17M 43S
91,73,17M 23S
91,76,17M 8S
93,76,16M 57S
95,76,16M 20S
95,77,16M 11S
95,79,15M 48S
95,80,15M 48S
95,82,15M 10S
95,83,14M 36S
95,84,14M 36S
95,85,14M 6S
95,86,14M 6S
Jump ball: R. Gay vs. D. Wright (D. Eubanks gains possession),NA,13M 53S
95,89,13M 11S
97,89,12M 50S
97,91,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
99,91,11M 28S
100,91,11M 28S
100,94,10M 48S
103,94,10M 31S
103,96,10M 14S
104,96,10M 1S
104,99,9M 50S
104,101,9M 24S
Jump ball: R. Gay vs. T. Davis (P. Mills gains possession),NA,9M 4S
107,101,8M 2S
109,101,7M 42S
111,101,7M 17S
111,103,6M 40S
113,103,6M 21S
116,103,5M 30S
116,106,5M 16S
117,106,4M 58S
119,106,4M 17S
120,106,3M 40S
120,108,3M 29S
121,108,3M 21S
122,108,3M 21S
122,110,3M 13S
122,111,3M 13S
124,111,3M 2S
126,111,2M 22S
126,113,2M 5S
128,113,1M 47S
130,113,1M 12S
130,115,53S
132,115,42S
End of 4th quarter,NA,0S
