Cleveland,Toronto,time_rem
21-40,26-35,48M 0S
3,0,47M 42S
5,0,46M 49S
5,2,46M 15S
8,2,45M 58S
10,2,45M 37S
10,4,44M 54S
10,6,44M 34S
10,8,44M 5S
12,8,43M 45S
12,9,43M 29S
12,10,43M 29S
12,12,42M 45S
12,14,42M 27S
12,16,41M 16S
12,18,40M 52S
12,20,40M 34S
12,22,39M 54S
15,22,39M 42S
15,24,39M 26S
16,24,38M 36S
17,24,38M 36S
17,25,38M 16S
20,25,37M 59S
20,27,37M 32S
20,28,37M 32S
22,28,36M 48S
22,31,36M 32S
23,31,36M 13S
23,32,36M 1S
23,33,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,33,35M 20S
25,33,35M 20S
26,33,35M 20S
26,35,35M 6S
29,35,34M 40S
32,35,33M 0S
32,37,32M 40S
32,39,31M 6S
34,39,30M 49S
36,39,29M 32S
36,41,29M 18S
38,41,28M 55S
40,41,28M 25S
42,41,28M 6S
42,43,27M 43S
42,45,27M 0S
44,45,26M 46S
44,47,26M 35S
46,47,26M 14S
48,47,25M 44S
48,49,25M 19S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,51,23M 46S
50,51,22M 57S
52,51,22M 2S
52,53,21M 46S
54,53,21M 27S
54,56,21M 11S
56,56,20M 53S
56,58,20M 36S
56,60,20M 17S
59,60,19M 52S
59,62,18M 42S
59,64,17M 40S
61,64,17M 20S
61,67,16M 56S
61,70,16M 13S
64,70,15M 55S
64,72,15M 44S
64,73,15M 10S
64,74,15M 10S
65,74,14M 14S
66,74,14M 14S
67,74,13M 55S
68,74,13M 55S
70,74,12M 45S
70,76,12M 33S
70,79,12M 29S
70,80,12M 11S
70,81,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,81,11M 34S
74,81,10M 57S
76,81,10M 24S
76,84,9M 59S
77,84,9M 30S
78,84,9M 30S
78,86,9M 10S
80,86,8M 55S
80,87,8M 32S
80,88,8M 32S
80,91,7M 56S
81,91,7M 18S
81,93,7M 9S
83,93,6M 42S
83,95,6M 30S
83,96,6M 30S
85,96,6M 7S
85,97,5M 45S
85,98,5M 45S
85,99,5M 45S
85,101,5M 20S
87,101,4M 56S
88,101,4M 56S
88,103,4M 18S
88,105,3M 47S
91,105,3M 23S
91,106,2M 11S
91,107,2M 11S
93,107,1M 55S
96,107,1M 19S
96,109,1M 5S
96,112,42S
End of 4th quarter,NA,0S
