Charlotte,New York,time_rem
33-38,40-31,48M 0S
0,0,47M 38S
0,3,47M 6S
2,3,46M 56S
2,6,45M 41S
4,6,45M 7S
4,8,44M 43S
4,11,44M 24S
6,11,43M 58S
6,14,43M 43S
9,14,43M 26S
10,14,43M 26S
13,14,43M 2S
13,16,42M 13S
13,19,41M 49S
15,19,41M 30S
16,19,41M 30S
18,19,41M 8S
18,21,40M 29S
18,24,39M 58S
19,24,39M 43S
19,26,39M 10S
20,26,37M 52S
21,26,37M 52S
21,29,37M 36S
23,29,37M 11S
23,30,36M 58S
23,31,36M 58S
23,32,36M 58S
24,32,36M 47S
25,32,36M 47S
25,33,36M 40S
25,34,36M 40S
27,34,36M 29S
27,36,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,38,35M 43S
27,40,35M 5S
29,40,34M 26S
30,40,33M 54S
30,41,33M 33S
30,42,33M 33S
30,45,32M 59S
30,48,32M 22S
33,48,32M 7S
33,50,31M 47S
36,50,31M 33S
36,53,31M 18S
38,53,30M 57S
41,53,30M 20S
44,53,29M 41S
44,55,29M 14S
Jump ball: C. Zeller vs. N. Noel (D. Graham gains possession),NA,28M 40S
47,55,27M 26S
47,58,27M 1S
48,58,26M 31S
49,58,26M 31S
50,58,26M 31S
52,58,25M 51S
52,60,25M 33S
54,60,24M 53S
54,63,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,65,23M 5S
54,67,22M 39S
56,67,21M 51S
56,69,20M 52S
56,71,20M 20S
56,73,19M 45S
58,73,19M 28S
61,73,18M 53S
64,73,18M 31S
64,74,18M 5S
66,74,17M 48S
66,76,17M 24S
67,76,17M 2S
68,76,17M 2S
68,78,16M 50S
70,78,16M 35S
71,78,16M 11S
71,80,15M 20S
71,82,14M 57S
73,82,14M 35S
74,82,14M 11S
75,82,14M 11S
76,82,14M 11S
76,84,13M 55S
79,84,13M 43S
79,87,13M 25S
81,87,13M 8S
81,89,12M 44S
84,89,12M 36S
86,89,12M 14S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,89,11M 33S
90,89,11M 9S
93,89,10M 32S
93,90,10M 19S
93,91,10M 19S
93,93,9M 39S
95,93,9M 22S
97,93,8M 41S
97,95,8M 11S
99,95,7M 52S
99,97,7M 29S
101,97,6M 45S
101,99,6M 26S
101,102,5M 19S
101,104,4M 34S
102,104,2M 9S
104,104,37S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: M. Bridges vs. N. Noel (A. Burks gains possession),NA,5M 0S
104,105,4M 41S
104,106,4M 41S
104,109,3M 51S
106,109,3M 35S
106,112,3M 11S
106,114,2M 15S
106,116,1M 31S
106,118,40S
109,118,32S
End of 1st overtime,NA,0S
