Washington,Orlando,time_rem
18-32,17-34,48M 0S
0,0,47M 48S
2,0,47M 34S
2,3,47M 9S
4,3,46M 27S
7,3,45M 28S
7,4,45M 13S
7,6,44M 50S
9,6,44M 32S
9,8,44M 18S
9,10,43M 32S
9,12,43M 1S
9,13,42M 11S
9,14,42M 11S
12,14,41M 52S
14,14,41M 9S
15,14,40M 40S
17,14,40M 28S
19,14,40M 6S
19,17,39M 42S
22,17,39M 26S
22,19,39M 13S
22,21,38M 50S
24,21,38M 35S
24,23,37M 55S
26,23,37M 43S
26,24,37M 23S
26,27,37M 20S
28,27,37M 10S
29,27,37M 10S
29,29,37M 0S
32,29,36M 52S
32,31,36M 38S
34,31,36M 24S
34,33,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,35,35M 30S
37,35,35M 7S
38,35,34M 35S
39,35,34M 35S
42,35,33M 55S
44,35,33M 35S
45,35,33M 35S
45,38,32M 43S
45,40,32M 16S
45,42,31M 14S
45,43,31M 14S
47,43,31M 0S
49,43,30M 17S
49,45,30M 1S
49,48,29M 37S
52,48,29M 18S
53,48,28M 14S
54,48,28M 14S
55,48,28M 14S
55,50,27M 54S
58,50,27M 44S
58,52,27M 31S
61,52,27M 21S
61,54,26M 46S
61,56,26M 36S
Jump ball: A. Len vs. M. Carter,Williams (B. Beal gains possession),26M 16S
63,56,26M 1S
66,56,25M 23S
66,58,25M 7S
67,58,24M 57S
68,58,24M 57S
68,60,24M 45S
70,60,24M 33S
73,60,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
75,60,23M 49S
77,60,23M 19S
77,62,22M 56S
80,62,22M 34S
80,64,22M 12S
80,67,21M 48S
80,68,20M 37S
80,69,20M 37S
83,69,19M 58S
85,69,19M 26S
85,71,19M 4S
87,71,18M 48S
87,73,18M 28S
87,75,17M 0S
90,75,16M 44S
93,75,16M 5S
96,75,15M 39S
96,77,15M 21S
96,80,14M 19S
96,83,13M 48S
96,85,13M 23S
98,85,13M 1S
98,87,12M 42S
98,88,12M 42S
98,90,12M 10S
100,90,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
102,90,11M 33S
102,93,11M 16S
105,93,10M 58S
105,95,10M 31S
105,97,9M 57S
105,100,9M 33S
107,100,8M 54S
107,103,8M 4S
109,103,7M 46S
111,103,7M 15S
111,104,6M 41S
111,105,6M 41S
113,105,6M 30S
113,107,6M 0S
115,107,5M 46S
115,108,5M 29S
118,108,5M 14S
120,108,4M 34S
121,108,4M 34S
124,108,4M 1S
125,108,3M 33S
125,109,3M 17S
127,109,2M 58S
129,109,2M 6S
129,112,1M 49S
130,112,1M 32S
131,112,1M 32S
131,113,55S
131,114,55S
131,115,15S
131,116,15S
End of 4th quarter,NA,0S
