Charlotte,Miami,time_rem
10-11,7-13,48M 0S
0,3,47M 39S
3,3,47M 24S
3,5,47M 1S
3,8,46M 44S
5,8,46M 22S
5,10,46M 6S
7,10,45M 6S
7,13,44M 20S
9,13,44M 3S
9,16,43M 49S
9,18,43M 26S
9,19,43M 12S
9,20,43M 12S
12,20,42M 34S
12,21,42M 23S
15,21,41M 46S
18,21,39M 50S
18,22,38M 12S
18,23,38M 12S
19,23,37M 52S
20,23,37M 52S
20,26,37M 37S
22,26,37M 17S
25,26,36M 47S
25,29,36M 33S
28,29,36M 12S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,32,35M 41S
28,34,35M 9S
29,34,34M 59S
30,34,34M 59S
32,34,34M 27S
35,34,34M 3S
36,34,33M 31S
36,37,33M 18S
38,37,32M 58S
38,40,32M 35S
38,42,31M 6S
38,44,30M 4S
40,44,29M 1S
40,47,28M 42S
42,47,28M 15S
42,48,28M 5S
44,48,27M 0S
44,50,26M 44S
44,53,26M 5S
47,53,25M 45S
47,55,25M 34S
50,55,25M 18S
52,55,24M 59S
53,55,24M 35S
54,55,24M 35S
54,56,24M 27S
54,57,24M 27S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,60,23M 38S
57,60,23M 20S
57,62,22M 53S
60,62,22M 38S
60,64,21M 8S
61,64,20M 47S
62,64,20M 47S
62,67,20M 24S
62,69,19M 54S
64,69,19M 44S
67,69,19M 7S
67,71,18M 49S
67,73,18M 3S
69,73,17M 53S
70,73,17M 16S
71,73,17M 16S
71,75,16M 43S
71,76,16M 3S
71,77,16M 3S
73,77,15M 38S
75,77,15M 32S
78,77,14M 56S
81,77,14M 23S
83,77,13M 45S
83,80,13M 23S
84,80,13M 0S
85,80,13M 0S
85,82,12M 39S
88,82,12M 21S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,84,11M 43S
91,84,11M 22S
91,86,11M 14S
91,89,10M 20S
91,92,9M 46S
91,93,9M 26S
91,94,9M 26S
92,94,9M 11S
92,97,8M 58S
95,97,7M 37S
95,99,7M 11S
98,99,6M 58S
98,101,6M 34S
98,103,5M 38S
98,105,4M 21S
98,108,3M 49S
100,108,3M 32S
101,108,3M 32S
101,111,3M 11S
103,111,2M 47S
105,111,2M 8S
108,111,1M 24S
108,113,1M 8S
109,113,59S
110,113,59S
113,113,16S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: C. Zeller vs. B. Adebayo (G. Dragić gains possession),NA,5M 0S
115,113,4M 1S
115,114,3M 46S
115,115,3M 46S
117,115,3M 25S
119,115,2M 54S
122,115,1M 42S
123,115,1M 11S
123,116,1M 1S
123,117,1M 1S
125,117,39S
125,119,35S
126,119,22S
127,119,22S
127,121,15S
128,121,13S
129,121,13S
End of 1st overtime,NA,0S
