Houston,Memphis,time_rem
11-10,9-8,48M 0S
0,0,47M 35S
0,2,46M 45S
3,2,46M 30S
6,2,46M 4S
6,4,45M 47S
9,4,45M 24S
9,6,44M 27S
11,6,44M 9S
11,7,43M 55S
11,8,43M 55S
13,8,43M 14S
13,9,42M 54S
13,11,42M 36S
15,11,42M 24S
17,11,41M 35S
17,14,40M 14S
20,14,39M 59S
22,14,39M 37S
22,17,39M 30S
22,20,38M 45S
24,20,38M 32S
24,23,38M 21S
24,25,37M 48S
27,25,36M 31S
27,27,36M 12S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,27,35M 31S
32,27,35M 0S
34,27,34M 23S
34,30,33M 12S
34,32,32M 28S
35,32,32M 14S
36,32,32M 14S
36,34,31M 23S
38,34,31M 3S
38,36,30M 44S
40,36,30M 14S
40,38,30M 8S
42,38,29M 50S
42,40,29M 37S
42,43,29M 3S
45,43,28M 45S
46,43,28M 16S
46,45,28M 2S
48,45,27M 4S
51,45,26M 36S
51,47,26M 23S
53,47,25M 34S
54,47,25M 34S
56,47,25M 9S
57,47,25M 9S
60,47,24M 35S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,49,23M 32S
63,49,22M 58S
65,49,22M 9S
68,49,21M 34S
70,49,20M 52S
71,49,20M 5S
72,49,19M 8S
73,49,19M 8S
74,49,19M 8S
74,52,18M 51S
74,53,18M 0S
74,54,18M 0S
77,54,17M 13S
77,56,16M 39S
77,57,16M 39S
77,59,16M 7S
77,60,16M 7S
77,62,15M 35S
77,64,14M 59S
80,64,14M 35S
80,65,14M 18S
80,66,14M 18S
Jump ball: S. Brown vs. D. Bane (J. Wall gains possession),NA,13M 51S
81,66,13M 22S
82,66,13M 22S
82,68,13M 10S
84,68,12M 54S
84,69,12M 45S
84,70,12M 45S
87,70,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,70,11M 44S
90,72,10M 31S
90,74,9M 53S
91,74,9M 33S
92,74,9M 33S
93,74,9M 7S
93,75,8M 57S
93,77,8M 34S
93,78,8M 18S
93,79,8M 18S
96,79,8M 0S
98,79,7M 26S
98,81,7M 15S
100,81,6M 53S
103,81,6M 25S
103,83,6M 11S
106,83,5M 44S
108,83,5M 19S
108,86,3M 52S
108,89,3M 28S
110,89,3M 13S
110,91,2M 58S
110,92,2M 26S
110,93,2M 26S
110,96,1M 32S
110,99,56S
113,99,36S
113,100,32S
115,100,22S
115,103,15S
End of 4th quarter,NA,0S
