Philadelphia,Indiana,time_rem
47-22,33-36,48M 0S
0,0,47M 49S
0,2,47M 47S
2,2,47M 26S
4,2,46M 43S
6,2,46M 29S
7,2,45M 53S
7,5,45M 41S
7,8,45M 11S
7,11,44M 36S
10,11,44M 3S
13,11,43M 42S
15,11,43M 0S
16,11,43M 0S
16,13,42M 50S
18,13,42M 31S
18,16,41M 58S
20,16,41M 45S
21,16,41M 45S
24,16,41M 12S
24,18,40M 35S
27,18,40M 19S
29,18,39M 33S
29,20,39M 17S
29,23,37M 58S
29,26,37M 30S
31,26,37M 4S
33,26,36M 36S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,26,35M 44S
36,26,35M 44S
36,28,35M 24S
38,28,34M 21S
38,31,33M 52S
40,31,32M 54S
42,31,32M 21S
42,33,31M 57S
42,35,31M 27S
43,35,31M 6S
44,35,31M 6S
46,35,30M 8S
48,35,29M 44S
48,38,29M 28S
48,40,28M 33S
50,40,28M 12S
50,42,28M 2S
53,42,27M 47S
55,42,27M 8S
57,42,26M 52S
57,43,26M 33S
57,44,26M 33S
60,44,25M 48S
60,45,25M 20S
60,46,25M 20S
62,46,25M 1S
62,48,24M 45S
62,49,24M 45S
62,51,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,53,21M 53S
64,53,21M 7S
64,55,20M 56S
64,58,20M 25S
66,58,19M 57S
66,61,19M 48S
66,63,18M 43S
66,65,18M 15S
68,65,17M 50S
70,65,17M 1S
70,67,16M 36S
72,67,16M 11S
72,69,15M 57S
Jump ball: T. Harris vs. D. Sabonis (B. Simmons gains possession),NA,14M 55S
72,72,13M 54S
72,75,13M 14S
74,75,12M 49S
75,75,12M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,75,11M 46S
80,75,11M 18S
80,77,10M 30S
82,77,9M 25S
82,79,8M 33S
84,79,8M 14S
84,80,7M 55S
84,81,7M 55S
85,81,7M 43S
87,81,7M 29S
87,83,7M 9S
87,86,6M 33S
90,86,6M 13S
90,87,5M 50S
90,88,5M 50S
Jump ball: T. Harris vs. C. LeVert (B. Simmons gains possession),NA,5M 31S
92,88,5M 26S
92,89,5M 23S
92,90,5M 23S
92,92,4M 34S
92,93,3M 49S
92,94,3M 49S
92,96,2M 23S
92,99,57S
93,99,55S
94,99,55S
94,101,33S
94,102,17S
94,103,17S
End of 4th quarter,NA,0S
