New York,Chicago,time_rem
10-13,8-12,48M 0S
0,0,47M 44S
0,2,47M 24S
2,2,47M 0S
4,2,46M 50S
6,2,46M 17S
6,4,46M 3S
8,4,45M 20S
10,4,44M 38S
12,4,44M 16S
12,6,44M 2S
14,6,43M 26S
16,6,42M 13S
16,8,41M 59S
18,8,41M 41S
20,8,40M 18S
20,10,40M 11S
20,12,39M 42S
22,12,39M 33S
25,12,37M 45S
28,12,37M 14S
28,14,36M 59S
31,14,36M 49S
31,15,36M 43S
34,15,36M 29S
34,17,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,18,35M 41S
34,19,35M 41S
36,19,35M 29S
36,22,35M 21S
39,22,34M 59S
39,25,34M 15S
39,27,33M 41S
41,27,33M 20S
42,27,32M 19S
43,27,32M 19S
43,30,32M 8S
45,30,31M 48S
45,31,31M 36S
45,33,31M 6S
45,35,30M 40S
46,35,30M 1S
47,35,30M 1S
49,35,29M 39S
51,35,29M 18S
51,36,29M 7S
51,37,29M 7S
53,37,28M 56S
53,39,28M 31S
53,42,28M 11S
55,42,27M 51S
55,44,26M 29S
57,44,26M 12S
59,44,25M 43S
59,46,25M 24S
61,46,25M 3S
61,47,24M 50S
61,48,24M 50S
63,48,24M 32S
63,50,24M 18S
63,52,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,52,23M 28S
65,54,21M 51S
67,54,21M 39S
68,54,21M 39S
68,56,21M 1S
70,56,20M 50S
71,56,20M 4S
72,56,20M 4S
74,56,19M 36S
74,58,19M 15S
74,59,18M 32S
74,60,18M 32S
77,60,18M 16S
77,62,18M 4S
79,62,17M 53S
81,62,17M 23S
81,64,17M 8S
81,66,16M 32S
81,68,16M 4S
81,70,15M 41S
83,70,15M 21S
83,72,14M 52S
83,74,14M 22S
84,74,14M 9S
85,74,14M 9S
88,74,13M 0S
88,76,12M 8S
91,76,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,76,11M 36S
94,78,10M 53S
94,79,10M 29S
94,81,9M 44S
94,83,9M 7S
97,83,8M 53S
97,85,8M 34S
97,88,8M 6S
97,90,7M 22S
99,90,6M 51S
99,92,6M 34S
99,94,6M 5S
99,96,5M 45S
102,96,4M 49S
104,96,3M 33S
104,99,2M 37S
106,99,2M 5S
106,101,1M 18S
106,103,0S
107,103,0S
End of 4th quarter,NA,0S
