Houston,Boston,time_rem
13-35,24-25,48M 0S
0,2,47M 43S
0,4,47M 1S
3,4,46M 25S
6,4,45M 49S
6,6,45M 30S
8,6,45M 21S
8,9,45M 2S
8,12,44M 31S
10,12,44M 10S
10,15,43M 56S
10,18,43M 19S
12,18,43M 5S
15,18,42M 36S
15,20,42M 19S
15,22,41M 14S
16,22,41M 3S
18,22,40M 33S
20,22,40M 8S
21,22,39M 45S
22,22,39M 45S
22,25,39M 36S
24,25,38M 53S
24,28,37M 56S
25,28,37M 46S
25,30,37M 13S
25,31,36M 47S
25,32,36M 47S
25,33,36M 47S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,33,35M 10S
27,35,34M 49S
29,35,34M 24S
29,37,34M 2S
31,37,33M 21S
32,37,32M 44S
33,37,32M 44S
36,37,32M 2S
38,37,31M 30S
38,39,30M 58S
38,41,30M 0S
38,43,28M 40S
40,43,28M 26S
42,43,28M 4S
44,43,27M 37S
44,45,27M 21S
44,47,26M 34S
44,50,25M 24S
44,52,24M 19S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
46,52,23M 45S
46,53,23M 3S
46,55,22M 33S
48,55,22M 5S
48,56,21M 18S
48,57,21M 18S
49,57,21M 5S
49,59,20M 39S
49,62,20M 12S
52,62,19M 58S
52,64,18M 28S
52,66,17M 51S
53,66,17M 25S
53,68,16M 51S
54,68,16M 51S
55,68,16M 40S
55,70,16M 28S
55,73,16M 1S
57,73,15M 46S
57,75,15M 12S
59,75,14M 55S
59,76,14M 42S
59,77,14M 42S
61,77,14M 23S
63,77,14M 2S
64,77,13M 23S
65,77,13M 23S
66,77,12M 56S
67,77,12M 56S
67,79,12M 44S
67,82,12M 24S
70,82,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
70,84,11M 35S
71,84,11M 35S
71,86,10M 59S
73,86,10M 36S
73,89,10M 22S
75,89,10M 4S
75,92,9M 39S
78,92,9M 23S
78,95,9M 11S
78,97,8M 41S
81,97,8M 26S
81,100,8M 6S
83,100,7M 54S
85,100,7M 20S
85,103,7M 8S
85,106,6M 24S
87,106,6M 2S
87,108,5M 39S
89,108,5M 33S
89,111,4M 37S
89,113,4M 6S
92,113,3M 52S
93,113,3M 23S
93,114,3M 5S
96,114,2M 22S
96,116,1M 31S
99,116,39S
99,118,26S
102,118,18S
End of 4th quarter,NA,0S
