Charlotte,New York,time_rem
28-29,32-27,48M 0S
0,3,47M 43S
0,6,46M 37S
3,6,46M 22S
3,9,45M 57S
3,12,45M 38S
6,12,45M 22S
6,14,45M 2S
8,14,44M 37S
8,17,43M 46S
11,17,43M 3S
14,17,42M 27S
14,18,41M 35S
14,20,40M 59S
14,22,40M 42S
17,22,40M 31S
17,24,40M 2S
20,24,39M 52S
22,24,38M 47S
22,26,38M 26S
22,28,37M 50S
24,28,37M 35S
24,30,37M 7S
27,30,36M 55S
29,30,36M 31S
32,30,36M 10S
33,30,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,32,34M 51S
36,32,34M 37S
36,34,33M 45S
38,34,33M 30S
38,37,32M 56S
38,39,31M 42S
38,40,31M 42S
40,40,31M 29S
40,41,31M 10S
40,42,31M 10S
42,42,30M 51S
42,45,30M 38S
44,45,30M 14S
44,48,29M 48S
47,48,29M 23S
47,51,29M 5S
49,51,28M 46S
51,51,28M 9S
53,51,27M 21S
53,52,26M 41S
53,53,26M 41S
55,53,26M 27S
55,56,26M 5S
57,56,25M 54S
57,59,25M 16S
60,59,24M 57S
60,60,24M 50S
63,60,24M 33S
66,60,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,62,23M 24S
66,64,22M 53S
66,66,22M 29S
68,66,22M 6S
68,69,21M 44S
69,69,21M 36S
69,72,21M 20S
70,72,21M 6S
70,74,20M 45S
70,75,19M 28S
70,76,19M 28S
73,76,19M 18S
73,79,18M 23S
75,79,17M 51S
75,82,17M 33S
75,83,16M 47S
75,84,16M 47S
77,84,16M 27S
77,86,16M 9S
77,88,14M 36S
80,88,13M 30S
80,91,12M 21S
82,91,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,93,11M 1S
84,93,10M 42S
86,93,10M 4S
86,95,9M 46S
88,95,9M 10S
88,97,8M 48S
88,99,7M 57S
90,99,7M 37S
90,102,6M 40S
92,102,6M 23S
95,102,5M 8S
95,105,3M 38S
95,107,2M 28S
97,107,1M 43S
97,109,43S
End of 4th quarter,NA,0S
