Cleveland,Orlando,time_rem
4-3,5-2,48M 0S
0,0,47M 43S
0,2,47M 32S
0,4,47M 11S
0,7,45M 27S
0,10,44M 43S
2,10,43M 49S
2,12,43M 13S
5,12,42M 49S
5,15,42M 27S
7,15,41M 59S
9,15,41M 37S
11,15,41M 6S
12,15,40M 42S
13,15,40M 42S
15,15,39M 41S
15,17,39M 22S
15,19,37M 42S
17,19,37M 5S
17,21,36M 52S
17,24,36M 31S
19,24,36M 10S
19,25,36M 1S
19,26,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,26,35M 5S
23,26,34M 42S
23,28,34M 20S
23,30,33M 52S
26,30,33M 24S
26,33,33M 9S
29,33,32M 55S
32,33,32M 20S
32,35,32M 7S
34,35,31M 45S
34,38,31M 6S
34,41,30M 18S
36,41,29M 51S
38,41,29M 33S
40,41,29M 18S
40,43,28M 57S
43,43,28M 46S
43,45,28M 29S
43,47,28M 4S
45,47,27M 10S
45,48,26M 51S
45,49,26M 51S
47,49,26M 42S
49,49,26M 13S
49,51,25M 58S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,53,23M 50S
51,53,23M 32S
54,53,22M 44S
54,56,21M 20S
54,58,20M 58S
57,58,20M 39S
57,61,20M 28S
58,61,20M 2S
59,61,20M 2S
59,62,19M 29S
59,64,19M 18S
59,67,18M 45S
59,69,17M 45S
60,69,17M 20S
60,71,17M 5S
60,74,16M 40S
60,76,15M 57S
63,76,15M 33S
63,79,14M 47S
65,79,14M 28S
65,80,14M 8S
65,81,14M 8S
65,82,14M 8S
67,82,13M 6S
67,84,12M 50S
67,86,12M 29S
67,89,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
69,89,11M 35S
69,92,10M 25S
71,92,9M 26S
Jump ball: A. Drummond vs. K. Birch (C. Sexton gains possession),NA,8M 58S
71,93,8M 45S
71,94,8M 45S
Jump ball: C. Anthony vs. J. McGee (N. Vučević gains possession),NA,8M 21S
73,94,7M 47S
73,96,7M 20S
76,96,6M 29S
76,98,6M 10S
76,99,5M 41S
76,100,5M 41S
78,100,5M 23S
79,100,4M 28S
80,100,4M 1S
80,103,2M 19S
83,103,23S
End of 4th quarter,NA,0S
