Milwaukee,Atlanta,time_rem
35-20,30-26,48M 0S
2,0,47M 44S
2,2,47M 29S
2,5,47M 9S
2,7,46M 38S
4,7,46M 1S
4,10,45M 42S
6,10,45M 25S
9,10,44M 33S
10,10,44M 5S
11,10,44M 5S
13,10,42M 48S
13,12,42M 5S
15,12,41M 32S
15,14,41M 19S
18,14,41M 4S
18,15,40M 50S
18,16,40M 50S
21,16,40M 15S
21,19,40M 3S
24,19,39M 38S
24,21,39M 23S
24,22,38M 19S
24,23,38M 19S
27,23,38M 0S
27,25,37M 47S
30,25,37M 30S
32,25,36M 59S
32,27,36M 42S
33,27,36M 28S
33,28,36M 6S
33,29,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,31,35M 51S
35,31,35M 37S
35,33,35M 28S
36,33,35M 10S
37,33,35M 10S
40,33,34M 9S
40,35,33M 9S
42,35,32M 48S
42,37,32M 19S
42,39,31M 53S
45,39,30M 40S
45,41,30M 16S
45,44,29M 56S
47,44,28M 50S
50,44,27M 53S
53,44,27M 13S
55,44,26M 41S
58,44,26M 9S
58,46,25M 54S
59,46,25M 46S
60,46,25M 46S
60,49,25M 26S
62,49,25M 15S
62,52,24M 57S
64,52,24M 24S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,54,23M 38S
64,57,23M 11S
64,60,22M 31S
65,60,21M 11S
65,62,20M 55S
67,62,20M 44S
67,65,20M 11S
69,65,19M 42S
69,68,19M 30S
71,68,18M 59S
71,70,18M 42S
71,71,18M 42S
73,71,18M 3S
73,74,17M 51S
76,74,17M 26S
78,74,16M 39S
79,74,16M 39S
79,76,16M 30S
80,76,16M 14S
80,77,16M 7S
80,78,16M 7S
82,78,15M 48S
82,79,15M 31S
82,80,15M 31S
85,80,15M 17S
86,80,15M 4S
87,80,15M 4S
87,82,14M 38S
89,82,14M 23S
91,82,13M 58S
94,82,13M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,82,11M 30S
98,82,11M 9S
98,85,10M 45S
100,85,10M 6S
100,87,9M 42S
103,87,9M 30S
105,87,8M 43S
105,90,8M 22S
107,90,8M 13S
109,90,7M 51S
109,92,6M 50S
111,92,6M 35S
111,94,5M 42S
111,97,5M 8S
111,98,4M 55S
111,99,4M 55S
113,99,4M 19S
113,100,4M 5S
113,101,4M 5S
113,102,2M 58S
113,103,2M 58S
113,105,2M 25S
115,105,1M 39S
118,105,1M 14S
120,105,47S
120,107,35S
120,109,4S
End of 4th quarter,NA,0S
