Dallas,Miami,time_rem
37-28,35-31,48M 0S
0,3,47M 44S
0,6,47M 12S
3,6,46M 57S
3,9,46M 39S
3,12,46M 13S
3,14,45M 43S
5,14,45M 10S
7,14,44M 31S
9,14,43M 55S
9,16,43M 42S
12,16,43M 26S
12,18,43M 1S
12,20,42M 18S
14,20,41M 58S
16,20,41M 25S
16,23,41M 13S
19,23,40M 59S
19,25,40M 32S
21,25,40M 13S
21,28,39M 4S
22,28,38M 51S
22,31,38M 42S
24,31,38M 28S
24,32,38M 17S
24,34,38M 2S
25,34,37M 39S
25,36,37M 20S
27,36,37M 7S
28,36,37M 7S
30,36,36M 47S
30,39,36M 36S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,39,35M 48S
32,40,34M 44S
32,41,34M 44S
35,41,34M 24S
35,44,34M 13S
36,44,32M 33S
37,44,32M 33S
40,44,31M 59S
42,44,31M 20S
44,44,30M 41S
44,46,30M 26S
44,48,29M 47S
47,48,28M 37S
47,50,27M 41S
50,50,27M 30S
50,51,27M 18S
50,52,27M 18S
52,52,26M 59S
55,52,26M 39S
58,52,25M 46S
58,53,25M 36S
58,54,25M 36S
60,54,25M 13S
Jump ball: D. Robinson vs. J. Green (K. Nunn gains possession),NA,24M 48S
63,54,24M 32S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,54,22M 56S
65,56,22M 20S
68,56,22M 3S
69,56,21M 34S
69,59,21M 15S
69,62,20M 21S
69,63,20M 21S
71,63,19M 51S
71,65,19M 37S
71,67,18M 40S
73,67,18M 25S
76,67,18M 4S
78,67,17M 28S
81,67,17M 6S
81,69,16M 55S
84,69,16M 28S
84,72,16M 13S
86,72,16M 0S
87,72,15M 47S
88,72,15M 47S
Jump ball: J. Green vs. K. Nunn (W. Cauley,Stein gains possession),15M 1S
91,72,14M 57S
91,75,14M 34S
91,77,14M 3S
93,77,13M 7S
96,77,12M 32S
98,77,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,79,11M 46S
100,79,11M 22S
100,80,11M 14S
102,80,10M 59S
103,80,10M 59S
106,80,10M 27S
106,83,10M 5S
106,84,9M 23S
106,85,9M 23S
109,85,9M 0S
109,86,8M 29S
109,87,8M 29S
109,89,8M 2S
112,89,7M 39S
112,90,7M 25S
112,91,7M 25S
115,91,7M 1S
115,93,6M 44S
Jump ball: B. Adebayo vs. J. Richardson (G. Vincent gains possession),NA,6M 16S
116,93,5M 57S
117,93,5M 57S
118,93,5M 41S
119,93,5M 41S
119,96,5M 28S
119,99,5M 0S
119,102,4M 14S
121,102,3M 51S
121,104,3M 9S
124,104,2M 13S
124,107,1M 41S
127,107,1M 16S
127,108,1M 12S
127,109,1M 12S
127,111,54S
127,113,21S
End of 4th quarter,NA,0S
