LA Clippers,Brooklyn,time_rem
16-6,14-9,48M 0S
3,0,47M 39S
3,2,47M 19S
5,2,46M 50S
8,2,46M 12S
10,2,45M 1S
10,4,44M 48S
12,4,44M 29S
14,4,44M 2S
14,6,43M 29S
16,6,43M 8S
18,6,42M 45S
18,8,42M 24S
20,8,42M 3S
20,11,41M 45S
20,13,41M 16S
20,14,41M 16S
21,14,40M 8S
22,14,40M 8S
22,16,39M 20S
23,16,38M 51S
24,16,38M 51S
25,16,38M 21S
26,16,38M 21S
26,18,38M 11S
29,18,37M 48S
29,20,37M 31S
29,22,36M 54S
32,22,36M 9S
32,24,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,27,35M 50S
34,27,35M 36S
34,30,35M 12S
34,32,34M 17S
36,32,34M 3S
36,34,33M 46S
39,34,32M 35S
39,36,31M 36S
39,37,31M 12S
39,38,31M 12S
41,38,30M 58S
43,38,30M 1S
43,41,29M 46S
45,41,29M 24S
45,43,29M 7S
47,43,28M 51S
49,43,28M 21S
50,43,28M 21S
50,45,28M 5S
53,45,27M 46S
56,45,27M 28S
56,47,27M 15S
56,49,26M 43S
56,50,26M 12S
56,51,26M 12S
58,51,25M 44S
58,53,24M 55S
58,55,24M 35S
58,57,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,59,23M 42S
60,59,23M 23S
60,62,23M 7S
60,64,22M 28S
63,64,21M 39S
63,67,21M 25S
65,67,20M 13S
68,67,19M 40S
68,69,18M 59S
68,70,18M 59S
70,70,18M 41S
70,72,17M 37S
72,72,17M 11S
72,73,16M 53S
72,74,16M 53S
72,75,16M 53S
72,78,16M 20S
75,78,15M 44S
76,78,15M 44S
76,80,15M 30S
79,80,15M 19S
79,82,14M 43S
81,82,14M 19S
81,83,14M 5S
83,83,13M 48S
83,84,13M 35S
83,85,13M 35S
86,85,13M 9S
86,88,12M 56S
88,88,12M 38S
90,88,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,90,11M 25S
93,90,10M 56S
93,92,10M 26S
93,95,8M 46S
95,95,8M 31S
95,96,8M 3S
95,97,8M 3S
97,97,7M 43S
99,97,7M 23S
101,97,6M 58S
102,97,6M 58S
102,99,6M 41S
102,102,5M 43S
102,104,4M 58S
102,107,4M 37S
102,110,4M 10S
104,110,3M 56S
106,110,3M 17S
106,112,2M 58S
106,113,2M 36S
106,114,2M 36S
106,115,2M 36S
107,115,2M 20S
108,115,2M 20S
108,118,1M 55S
111,118,1M 44S
113,118,51S
114,118,51S
117,118,24S
117,119,9S
117,120,9S
118,120,7S
119,120,7S
119,122,5S
120,122,3S
120,123,1S
120,124,1S
End of 4th quarter,NA,0S
