LA Lakers,LA Clippers,time_rem
31-19,33-18,48M 0S
0,0,47M 45S
0,2,47M 27S
0,4,46M 57S
2,4,46M 43S
2,6,46M 34S
2,8,46M 4S
2,10,45M 37S
2,13,44M 52S
4,13,44M 39S
5,13,44M 39S
7,13,44M 1S
7,16,43M 41S
7,18,43M 16S
9,18,42M 51S
9,20,42M 27S
11,20,42M 3S
11,22,41M 41S
13,22,41M 20S
15,22,40M 37S
17,22,38M 20S
17,24,38M 4S
19,24,37M 47S
19,27,36M 27S
20,27,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,27,34M 29S
22,27,34M 29S
22,30,34M 9S
22,32,33M 49S
24,32,33M 0S
24,33,32M 16S
26,33,31M 58S
26,36,31M 35S
26,37,31M 0S
26,38,31M 0S
28,38,30M 42S
28,40,29M 58S
30,40,29M 27S
30,42,29M 15S
30,44,27M 50S
30,47,27M 36S
30,50,27M 5S
33,50,26M 20S
33,51,26M 16S
33,53,25M 28S
36,53,24M 48S
38,53,24M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
40,53,23M 38S
40,56,23M 23S
40,58,23M 0S
40,59,22M 37S
40,60,22M 37S
40,62,22M 5S
41,62,21M 21S
41,65,21M 0S
44,65,19M 37S
47,65,18M 20S
47,67,16M 46S
47,70,16M 9S
48,70,15M 44S
49,70,15M 44S
50,70,15M 9S
51,70,15M 9S
51,72,14M 14S
51,75,13M 4S
53,75,12M 50S
55,75,12M 22S
55,76,12M 6S
55,77,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
57,77,11M 48S
57,79,11M 25S
59,79,10M 55S
59,81,10M 46S
61,81,10M 22S
61,83,10M 5S
63,83,9M 25S
65,83,8M 35S
66,83,8M 35S
66,85,8M 18S
68,85,7M 52S
68,87,7M 24S
68,89,6M 27S
71,89,6M 11S
73,89,5M 46S
74,89,5M 46S
74,92,5M 25S
75,92,5M 15S
75,94,5M 2S
75,96,4M 24S
78,96,4M 14S
78,99,3M 45S
79,99,2M 58S
80,99,2M 58S
80,102,2M 37S
82,102,2M 6S
85,102,1M 34S
Jump ball: D. Oturu vs. K. Antetokounmpo (T. Mann gains possession),NA,1M 17S
86,102,1M 1S
86,104,42S
End of 4th quarter,NA,0S
