Oklahoma City,Phoenix,time_rem
8-9,8-8,48M 0S
0,0,47M 40S
0,2,47M 30S
0,5,46M 35S
3,5,45M 13S
3,7,44M 58S
3,10,44M 33S
6,10,43M 14S
6,12,43M 1S
6,13,43M 1S
7,13,42M 27S
7,16,42M 10S
10,16,41M 57S
10,18,40M 29S
10,21,39M 52S
12,21,39M 32S
12,23,39M 19S
15,23,39M 4S
15,25,38M 47S
15,26,38M 47S
17,26,38M 34S
17,29,38M 21S
17,32,37M 55S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
17,34,34M 52S
19,34,34M 31S
21,34,33M 17S
21,36,32M 55S
21,38,32M 24S
23,38,32M 6S
26,38,31M 15S
28,38,29M 38S
28,40,29M 18S
30,40,29M 6S
30,41,28M 16S
30,42,28M 16S
33,42,28M 11S
35,42,27M 42S
36,42,27M 42S
38,42,26M 59S
40,42,26M 37S
42,42,26M 16S
45,42,25M 22S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,42,23M 37S
48,44,23M 10S
51,44,22M 53S
53,44,21M 51S
56,44,21M 14S
56,46,21M 3S
59,46,20M 17S
59,49,19M 44S
59,51,19M 16S
59,54,18M 40S
59,57,17M 53S
59,58,17M 53S
59,61,17M 22S
59,64,16M 51S
62,64,15M 53S
62,66,15M 29S
62,69,15M 6S
64,69,14M 46S
67,69,13M 54S
68,69,13M 30S
69,69,13M 30S
69,70,13M 22S
69,71,13M 22S
71,71,12M 43S
73,71,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,71,11M 40S
75,73,11M 15S
77,73,10M 12S
77,75,9M 52S
79,75,9M 36S
79,77,9M 26S
79,79,8M 56S
81,79,8M 39S
81,81,8M 18S
83,81,7M 59S
83,83,7M 42S
83,86,6M 41S
83,89,6M 5S
86,89,5M 49S
86,91,5M 23S
89,91,5M 8S
90,91,4M 37S
91,91,4M 18S
91,92,3M 53S
91,95,3M 29S
93,95,2M 48S
96,95,2M 11S
98,95,1M 36S
98,96,1M 28S
98,97,1M 28S
99,97,17S
100,97,17S
101,97,5S
102,97,5S
End of 4th quarter,NA,0S
