Dallas,Portland,time_rem
22-19,25-17,48M 0S
0,0,47M 45S
1,0,47M 24S
2,0,47M 24S
2,2,47M 8S
2,4,46M 43S
5,4,46M 30S
5,6,46M 10S
5,8,45M 45S
7,8,45M 5S
7,10,44M 37S
7,12,44M 3S
9,12,43M 49S
9,14,43M 34S
9,16,43M 1S
12,16,42M 13S
12,19,41M 52S
14,19,41M 43S
14,20,41M 25S
16,20,41M 18S
16,23,40M 4S
18,23,39M 52S
19,23,39M 52S
22,23,39M 7S
22,25,38M 45S
22,26,38M 34S
25,26,37M 22S
25,27,37M 5S
25,28,37M 5S
25,30,36M 38S
27,30,36M 31S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,31,35M 37S
27,32,35M 37S
29,32,35M 19S
29,35,34M 53S
Jump ball: B. Marjanović vs. E. Freedom (L. Dončić gains possession),NA,34M 23S
32,35,34M 18S
34,35,33M 45S
34,37,33M 34S
36,37,33M 27S
38,37,32M 52S
38,39,32M 36S
40,39,32M 24S
40,41,32M 8S
42,41,31M 39S
42,44,31M 23S
43,44,30M 44S
44,44,30M 44S
46,44,30M 11S
48,44,28M 57S
51,44,28M 36S
51,46,28M 22S
53,46,27M 28S
53,48,27M 7S
55,48,26M 53S
55,50,26M 29S
56,50,26M 20S
57,50,26M 20S
60,50,25M 52S
63,50,25M 22S
63,52,25M 8S
64,52,24M 51S
65,52,24M 51S
65,53,24M 21S
65,54,24M 21S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
68,54,23M 52S
70,54,22M 52S
73,54,22M 14S
76,54,20M 49S
78,54,20M 17S
81,54,19M 14S
84,54,18M 43S
84,56,18M 23S
84,57,18M 23S
85,57,17M 52S
85,60,17M 33S
88,60,17M 7S
88,62,16M 54S
91,62,16M 41S
91,64,16M 22S
94,64,16M 8S
95,64,15M 21S
96,64,15M 21S
96,66,15M 9S
98,66,14M 54S
101,66,13M 38S
103,66,12M 32S
103,69,12M 21S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
104,69,11M 45S
105,69,11M 45S
107,69,11M 21S
107,71,10M 57S
107,72,10M 57S
107,73,10M 42S
109,73,10M 24S
109,76,10M 16S
111,76,10M 1S
114,76,9M 24S
Jump ball: D. Powell vs. H. Giles (T. Burke gains possession),NA,9M 9S
115,76,8M 57S
116,76,8M 57S
118,76,8M 29S
119,76,8M 29S
119,78,8M 16S
119,80,7M 28S
121,80,7M 6S
121,81,5M 56S
121,82,5M 38S
Jump ball: D. Powell vs. H. Giles (T. Bey gains possession),NA,5M 27S
123,82,5M 18S
125,82,4M 31S
127,82,3M 45S
127,85,3M 27S
127,87,2M 54S
129,87,2M 37S
132,87,2M 13S
132,90,1M 34S
132,91,55S
132,92,55S
End of 4th quarter,NA,0S
