Boston,Dallas,time_rem
15-16,15-15,48M 0S
2,0,47M 38S
4,0,47M 10S
4,2,46M 53S
7,2,46M 24S
7,4,46M 5S
9,4,45M 51S
9,5,45M 39S
9,6,45M 39S
10,6,45M 28S
11,6,45M 28S
11,9,45M 16S
14,9,45M 5S
14,11,44M 51S
16,11,44M 30S
16,13,44M 0S
16,15,42M 58S
16,17,42M 2S
18,17,41M 50S
18,19,41M 29S
19,19,41M 12S
20,19,41M 12S
20,21,40M 15S
20,22,39M 43S
20,23,39M 43S
22,23,39M 2S
25,23,38M 24S
27,23,37M 55S
27,25,37M 38S
27,28,37M 12S
29,28,36M 59S
29,30,36M 49S
29,32,36M 25S
31,32,36M 13S
31,34,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,34,35M 16S
33,36,35M 1S
36,36,34M 45S
36,38,34M 9S
39,38,33M 5S
39,41,31M 53S
39,43,31M 7S
42,43,30M 12S
42,46,29M 58S
43,46,29M 39S
43,48,29M 22S
45,48,29M 3S
47,48,28M 6S
47,51,27M 52S
50,51,27M 33S
50,53,27M 11S
51,53,26M 45S
52,53,26M 45S
54,53,26M 13S
Jump ball: B. Marjanović vs. G. Williams (J. Richardson gains possession),NA,25M 35S
54,55,25M 31S
56,55,25M 12S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,57,23M 43S
58,57,23M 22S
58,60,22M 44S
60,60,21M 20S
62,60,20M 30S
63,60,20M 30S
65,60,20M 1S
Jump ball: D. Finney,Smith vs. T. Thompson (J. Richardson gains possession),17M 32S
65,62,17M 13S
67,62,17M 0S
67,64,16M 49S
68,64,16M 29S
69,64,16M 29S
69,66,16M 19S
69,68,15M 39S
70,68,15M 27S
71,68,15M 27S
71,71,15M 8S
71,73,14M 6S
71,75,13M 31S
74,75,13M 15S
74,76,13M 3S
74,77,13M 3S
76,77,12M 53S
76,80,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,80,11M 7S
78,82,10M 54S
80,82,10M 38S
83,82,10M 10S
83,84,8M 48S
85,84,8M 30S
85,86,7M 54S
85,87,7M 54S
87,87,7M 24S
87,88,7M 15S
87,91,6M 59S
87,93,6M 32S
87,94,5M 54S
89,94,5M 10S
89,95,4M 59S
89,96,4M 59S
89,97,4M 21S
89,98,4M 21S
89,101,3M 57S
91,101,3M 47S
93,101,3M 29S
93,104,3M 12S
96,104,2M 58S
97,104,2M 58S
100,104,2M 32S
103,104,1M 55S
105,104,37S
105,107,15S
107,107,9S
107,110,0S
End of 4th quarter,NA,0S
