Washington,Boston,time_rem
13-19,17-17,48M 0S
0,0,47M 45S
0,2,47M 37S
0,5,45M 45S
0,7,45M 21S
1,7,44M 50S
2,7,44M 50S
3,7,43M 44S
4,7,43M 44S
4,9,42M 47S
4,10,42M 18S
4,11,42M 18S
4,12,42M 18S
4,14,42M 2S
7,14,41M 41S
8,14,41M 16S
9,14,41M 16S
9,16,40M 31S
10,16,40M 18S
11,16,40M 18S
12,16,40M 18S
12,18,40M 6S
15,18,39M 52S
15,20,39M 42S
16,20,39M 31S
17,20,39M 31S
19,20,39M 13S
19,23,39M 1S
20,23,38M 56S
22,23,38M 31S
22,24,38M 25S
22,25,38M 25S
24,25,38M 13S
24,26,38M 0S
24,27,38M 0S
24,28,37M 26S
24,31,37M 4S
25,31,36M 56S
27,31,36M 35S
27,33,36M 29S
28,33,36M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,33,35M 30S
30,35,35M 9S
33,35,34M 57S
33,37,34M 37S
33,39,34M 12S
34,39,33M 42S
35,39,33M 42S
35,41,33M 25S
35,44,32M 55S
35,45,32M 27S
37,45,32M 15S
37,46,31M 57S
37,48,31M 27S
39,48,31M 8S
41,48,30M 26S
41,49,30M 8S
41,50,30M 8S
44,50,29M 49S
44,51,29M 40S
44,53,28M 27S
46,53,28M 18S
48,53,27M 16S
50,53,26M 42S
50,56,26M 32S
53,56,26M 19S
53,58,25M 49S
53,60,25M 12S
55,60,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,62,23M 18S
55,65,22M 25S
57,65,21M 50S
57,68,20M 43S
59,68,19M 20S
61,68,17M 41S
63,68,17M 18S
65,68,16M 43S
65,70,16M 20S
67,70,16M 4S
69,70,14M 33S
69,72,13M 56S
71,72,13M 40S
71,75,13M 23S
71,77,12M 54S
72,77,12M 40S
73,77,12M 40S
73,78,12M 30S
73,79,12M 30S
75,79,12M 11S
76,79,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,81,11M 30S
77,81,11M 21S
78,81,11M 21S
80,81,10M 49S
82,81,10M 0S
84,81,9M 28S
87,81,8M 59S
87,83,8M 39S
87,85,8M 10S
87,87,7M 34S
89,87,7M 20S
91,87,6M 37S
91,89,6M 23S
91,92,5M 48S
91,94,5M 33S
94,94,5M 18S
95,94,5M 18S
95,96,5M 3S
98,96,4M 22S
100,96,3M 57S
101,96,3M 57S
102,96,3M 38S
103,96,3M 38S
103,97,3M 21S
103,98,3M 21S
106,98,2M 56S
106,100,2M 39S
106,103,2M 0S
106,105,1M 33S
108,105,1M 16S
110,105,46S
110,107,43S
110,109,15S
110,111,4S
End of 4th quarter,NA,0S
