LA Lakers,Washington,time_rem
36-26,28-34,48M 0S
2,0,47M 40S
2,2,47M 6S
4,2,46M 12S
4,4,45M 59S
6,4,45M 39S
8,4,45M 18S
8,6,44M 53S
8,8,44M 20S
9,8,44M 13S
11,8,44M 5S
13,8,43M 31S
14,8,43M 31S
14,10,43M 16S
14,12,42M 58S
14,14,42M 23S
16,14,42M 13S
16,17,41M 41S
16,19,41M 8S
18,19,40M 52S
20,19,40M 26S
22,19,40M 8S
22,21,39M 55S
24,21,39M 35S
26,21,39M 8S
26,23,38M 31S
28,23,38M 18S
28,25,38M 7S
28,26,38M 7S
31,26,37M 51S
31,28,37M 34S
32,28,37M 20S
33,28,37M 20S
33,29,37M 10S
33,30,36M 31S
33,31,36M 31S
35,31,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,33,35M 16S
36,33,35M 6S
37,33,35M 6S
39,33,34M 15S
39,35,33M 30S
39,36,33M 3S
39,37,33M 3S
40,37,32M 47S
41,37,32M 47S
43,37,32M 11S
43,39,31M 54S
43,41,31M 14S
45,41,30M 59S
45,43,30M 49S
47,43,30M 37S
47,45,30M 28S
47,47,29M 51S
47,49,29M 10S
47,51,28M 29S
48,51,27M 29S
49,51,27M 29S
49,53,27M 13S
49,54,26M 50S
49,55,26M 50S
49,57,26M 24S
52,57,25M 58S
52,58,24M 53S
52,59,24M 34S
55,59,24M 24S
55,61,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,61,22M 30S
57,63,22M 9S
59,63,21M 38S
59,65,21M 12S
59,67,20M 54S
61,67,20M 43S
63,67,20M 22S
64,67,20M 22S
64,68,20M 12S
64,69,20M 12S
67,69,19M 52S
67,72,19M 13S
67,74,18M 34S
69,74,18M 16S
69,76,17M 33S
69,78,17M 2S
69,79,17M 2S
69,81,16M 28S
69,84,14M 52S
69,85,14M 25S
72,85,14M 9S
72,87,13M 56S
74,87,12M 58S
74,90,12M 47S
77,90,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,90,11M 44S
79,92,11M 11S
79,94,10M 6S
79,96,9M 20S
79,98,9M 11S
80,98,8M 49S
81,98,8M 49S
81,100,8M 35S
84,100,8M 18S
86,100,7M 9S
86,102,6M 45S
89,102,6M 25S
91,102,5M 55S
93,102,5M 29S
93,104,5M 12S
95,104,5M 1S
95,107,4M 42S
98,107,4M 26S
98,109,3M 44S
98,112,3M 11S
98,114,2M 52S
100,114,2M 32S
100,115,1M 47S
100,116,1M 47S
102,116,1M 34S
105,116,1M 0S
107,116,19S
End of 4th quarter,NA,0S
