Indiana,Atlanta,time_rem
26-30,31-26,48M 0S
0,0,47M 41S
2,0,46M 58S
2,3,46M 38S
2,5,46M 8S
4,5,46M 3S
4,6,45M 17S
6,6,45M 0S
6,7,44M 51S
6,8,44M 51S
6,10,44M 32S
6,12,44M 15S
6,14,43M 58S
6,16,43M 30S
6,18,42M 54S
8,18,42M 15S
8,21,42M 2S
10,21,41M 48S
10,23,41M 24S
10,26,41M 1S
10,28,40M 24S
10,29,39M 19S
10,30,39M 19S
12,30,39M 9S
13,30,39M 9S
15,30,38M 41S
15,33,38M 26S
17,33,37M 51S
17,35,37M 38S
19,35,37M 16S
21,35,36M 40S
Jump ball: J. Lamb vs. L. Williams (E. Sumner gains possession),NA,36M 0S
22,35,36M 0S
23,35,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,35,35M 7S
25,35,35M 7S
25,37,34M 8S
27,37,33M 45S
27,39,33M 36S
29,39,32M 42S
30,39,32M 42S
30,41,32M 26S
32,41,32M 16S
32,43,31M 53S
35,43,31M 43S
37,43,30M 51S
37,45,30M 23S
39,45,30M 8S
39,46,29M 49S
41,46,29M 38S
43,46,29M 7S
43,49,28M 48S
43,51,28M 29S
45,51,28M 13S
45,53,28M 0S
45,54,28M 0S
48,54,27M 26S
50,54,27M 2S
50,56,26M 50S
50,58,25M 46S
50,60,25M 28S
53,60,25M 11S
53,63,24M 49S
55,63,24M 45S
55,66,24M 29S
57,66,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,66,23M 7S
58,67,22M 12S
58,68,22M 12S
61,68,21M 45S
64,68,21M 11S
64,70,20M 49S
64,72,20M 22S
64,75,19M 57S
67,75,19M 39S
67,77,19M 22S
69,77,19M 10S
69,78,18M 55S
69,79,18M 55S
72,79,18M 21S
72,82,18M 5S
72,83,17M 53S
74,83,17M 42S
74,85,17M 27S
76,85,17M 11S
77,85,16M 1S
78,85,16M 1S
80,85,15M 41S
81,85,15M 8S
81,86,15M 2S
81,87,15M 2S
84,87,14M 51S
86,87,14M 21S
Jump ball: O. Okongwu vs. J. Holiday (L. Williams gains possession),NA,13M 59S
86,88,13M 56S
86,89,13M 56S
88,89,13M 17S
88,92,12M 59S
90,92,12M 24S
90,93,12M 4S
90,94,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,96,11M 46S
92,96,9M 43S
92,98,9M 30S
92,100,9M 0S
95,100,8M 50S
95,101,8M 36S
96,101,8M 20S
97,101,8M 20S
99,101,8M 2S
99,103,7M 45S
99,105,7M 21S
100,105,6M 44S
101,105,6M 44S
103,105,6M 6S
105,105,5M 9S
105,106,4M 54S
105,107,4M 54S
107,107,4M 40S
107,110,4M 17S
109,110,4M 5S
109,112,3M 50S
109,115,3M 23S
Jump ball: T. Young vs. C. LeVert (K. Huerter gains possession),NA,2M 59S
109,117,2M 39S
111,117,2M 21S
111,120,1M 59S
114,120,1M 47S
114,122,1M 28S
115,122,32S
115,123,29S
115,125,29S
115,126,25S
115,127,25S
116,127,15S
117,127,15S
117,128,12S
117,129,12S
End of 4th quarter,NA,0S
