Toronto,Milwaukee,time_rem
13-15,16-12,48M 0S
0,0,47M 41S
2,0,47M 35S
2,2,47M 24S
5,2,46M 58S
5,5,46M 22S
8,5,45M 40S
8,6,45M 22S
8,7,45M 22S
10,7,45M 12S
12,7,44M 57S
13,7,44M 57S
16,7,44M 40S
16,8,44M 22S
16,9,44M 22S
18,9,43M 42S
18,11,43M 28S
18,13,43M 1S
18,15,42M 24S
18,16,42M 11S
18,17,42M 11S
20,17,41M 50S
20,19,41M 35S
22,19,41M 22S
22,20,40M 45S
22,21,40M 45S
22,24,39M 40S
24,24,39M 13S
26,24,38M 51S
26,27,38M 39S
28,27,37M 56S
28,30,37M 38S
31,30,37M 16S
31,33,37M 2S
33,33,36M 46S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,33,35M 39S
36,36,34M 37S
36,38,34M 16S
36,40,33M 42S
38,40,33M 36S
38,42,33M 12S
38,45,32M 47S
38,48,32M 26S
38,50,31M 58S
40,50,31M 40S
42,50,31M 20S
44,50,31M 7S
45,50,30M 37S
46,50,30M 37S
46,53,30M 19S
49,53,29M 59S
52,53,29M 26S
52,55,29M 11S
54,55,28M 54S
57,55,27M 57S
57,58,27M 5S
60,58,26M 51S
60,60,26M 29S
61,60,25M 57S
62,60,25M 57S
62,62,25M 25S
63,62,25M 13S
64,62,25M 13S
64,64,24M 24S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,64,23M 41S
67,66,23M 29S
69,66,23M 18S
69,69,23M 12S
71,69,22M 55S
74,69,22M 36S
74,71,22M 9S
74,72,21M 55S
74,73,21M 17S
74,74,21M 17S
77,74,20M 9S
77,76,19M 50S
78,76,19M 31S
79,76,19M 31S
82,76,19M 3S
82,78,18M 44S
84,78,18M 38S
86,78,17M 43S
86,81,17M 24S
86,82,16M 51S
86,83,16M 51S
86,84,15M 42S
86,85,15M 42S
87,85,15M 30S
89,85,14M 26S
89,87,13M 50S
90,87,13M 27S
90,89,13M 11S
92,89,12M 57S
92,91,12M 36S
94,91,12M 19S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,94,11M 38S
96,94,11M 18S
96,95,11M 5S
96,96,11M 5S
98,96,10M 41S
100,96,10M 12S
101,96,10M 12S
101,98,9M 46S
103,98,9M 32S
103,101,9M 14S
106,101,8M 51S
106,103,8M 34S
109,103,8M 6S
112,103,7M 5S
112,105,6M 45S
112,107,6M 8S
112,109,5M 36S
115,109,4M 32S
117,109,3M 53S
Jump ball: B. Lopez vs. C. Boucher (P. Connaughton gains possession),NA,2M 54S
119,109,2M 32S
119,110,2M 20S
119,111,2M 20S
119,113,1M 59S
121,113,1M 45S
122,113,1M 15S
123,113,22S
124,113,22S
End of 4th quarter,NA,0S
