Indiana,Denver,time_rem
17-21,23-16,48M 0S
0,0,47M 38S
0,3,47M 26S
2,3,47M 14S
2,4,47M 3S
2,5,47M 3S
2,8,46M 40S
5,8,45M 40S
5,10,44M 56S
7,10,44M 22S
7,12,43M 59S
9,12,43M 38S
9,14,43M 20S
9,16,43M 0S
9,19,42M 42S
12,19,42M 18S
12,22,41M 50S
12,24,40M 58S
14,24,40M 32S
14,26,40M 16S
17,26,40M 3S
17,28,39M 46S
19,28,39M 33S
20,28,39M 33S
20,30,39M 11S
23,30,38M 6S
26,30,37M 44S
29,30,37M 12S
29,31,37M 1S
29,32,37M 1S
32,32,36M 13S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,35,35M 49S
34,35,34M 33S
35,35,34M 33S
35,38,34M 5S
35,41,33M 0S
35,44,32M 27S
35,47,31M 54S
35,49,31M 23S
35,52,30M 24S
37,52,30M 12S
37,54,29M 58S
37,55,29M 37S
37,56,29M 23S
37,57,29M 23S
40,57,29M 2S
43,57,28M 13S
45,57,27M 46S
46,57,27M 7S
47,57,27M 7S
49,57,26M 22S
49,58,26M 14S
49,60,25M 50S
49,61,25M 31S
52,61,25M 20S
52,63,24M 47S
54,63,24M 36S
54,65,24M 22S
56,65,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,68,23M 5S
59,68,22M 49S
61,68,21M 59S
64,68,21M 27S
64,70,21M 8S
66,70,20M 46S
68,70,20M 12S
68,71,19M 55S
68,72,19M 55S
70,72,19M 45S
73,72,18M 48S
73,74,18M 30S
76,74,18M 11S
79,74,17M 36S
79,76,17M 12S
79,78,16M 50S
82,78,16M 32S
82,80,16M 6S
83,80,15M 56S
84,80,15M 56S
84,83,15M 40S
84,85,14M 41S
87,85,14M 32S
89,85,14M 12S
89,86,13M 44S
89,87,13M 44S
91,87,13M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,90,11M 24S
91,92,10M 28S
91,94,9M 55S
91,95,9M 43S
91,97,9M 39S
91,99,9M 1S
91,101,8M 34S
93,101,7M 5S
93,104,6M 53S
93,107,5M 23S
93,109,4M 56S
94,109,4M 42S
95,109,4M 42S
95,111,4M 24S
95,113,3M 54S
97,113,3M 44S
97,114,2M 49S
97,115,2M 49S
99,115,2M 42S
99,117,2M 21S
101,117,1M 52S
102,117,1M 52S
102,119,1M 29S
104,119,37S
104,121,20S
105,121,15S
106,121,15S
End of 4th quarter,NA,0S
