New York,Detroit,time_rem
25-25,14-35,48M 0S
3,0,47M 38S
6,0,46M 48S
8,0,46M 15S
11,0,45M 42S
14,0,44M 47S
14,1,44M 31S
16,1,44M 0S
16,3,42M 51S
17,3,42M 36S
18,3,42M 36S
21,3,41M 59S
24,3,41M 39S
24,5,41M 19S
27,5,41M 7S
27,7,40M 57S
30,7,40M 40S
30,8,40M 32S
30,9,40M 32S
30,11,39M 44S
33,11,39M 25S
35,11,38M 38S
35,13,38M 12S
37,13,37M 59S
37,15,37M 7S
39,15,36M 52S
41,15,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
43,15,35M 14S
44,15,34M 40S
44,16,33M 40S
44,17,33M 40S
46,17,33M 20S
46,20,32M 58S
49,20,32M 16S
49,21,32M 1S
51,21,31M 45S
51,23,30M 30S
51,26,29M 2S
54,26,28M 23S
54,28,28M 6S
54,29,27M 38S
54,31,27M 10S
54,32,27M 10S
54,34,26M 46S
56,34,26M 14S
56,36,26M 6S
58,36,25M 11S
58,38,24M 53S
60,38,24M 41S
60,39,24M 30S
60,40,24M 30S
60,41,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,43,23M 42S
62,43,23M 18S
62,45,23M 4S
Jump ball: J. Jackson vs. E. Payton (D. Smith gains possession),NA,22M 38S
65,45,22M 15S
67,45,21M 39S
67,47,21M 9S
67,50,19M 30S
69,50,19M 19S
69,52,18M 51S
70,52,18M 35S
71,52,18M 35S
73,52,18M 20S
74,52,18M 20S
75,52,17M 40S
75,54,17M 3S
76,54,16M 45S
77,54,16M 27S
78,54,16M 27S
78,56,16M 7S
81,56,15M 46S
83,56,15M 20S
83,57,14M 25S
83,58,14M 25S
83,61,13M 34S
84,61,12M 36S
85,61,12M 36S
88,61,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,61,10M 59S
91,61,10M 59S
91,63,9M 44S
94,63,9M 23S
94,66,9M 5S
96,66,8M 45S
96,69,8M 15S
97,69,7M 58S
98,69,7M 58S
98,72,7M 39S
100,72,7M 20S
102,72,6M 38S
104,72,6M 18S
106,72,5M 48S
107,72,5M 3S
108,72,5M 3S
109,72,5M 3S
109,75,4M 41S
109,77,3M 59S
111,77,3M 38S
114,77,3M 12S
117,77,2M 44S
118,77,2M 26S
121,77,2M 3S
121,78,59S
122,78,47S
125,78,27S
125,81,15S
End of 4th quarter,NA,0S
