Dallas,Washington,time_rem
27-21,17-31,48M 0S
2,0,47M 41S
2,2,47M 27S
4,2,46M 31S
4,5,45M 50S
7,5,45M 30S
9,5,45M 2S
11,5,44M 5S
11,7,43M 44S
11,9,43M 3S
12,9,42M 48S
14,9,42M 11S
14,11,41M 37S
16,11,40M 21S
16,13,39M 52S
19,13,39M 36S
19,15,39M 18S
19,17,38M 57S
19,19,38M 23S
22,19,37M 9S
24,19,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,19,35M 39S
26,22,35M 2S
29,22,34M 2S
29,24,33M 47S
29,26,33M 2S
29,28,32M 38S
31,28,32M 25S
32,28,32M 25S
32,30,32M 8S
32,31,31M 40S
33,31,31M 22S
33,33,31M 2S
35,33,30M 46S
35,35,30M 25S
37,35,29M 30S
38,35,29M 30S
38,37,29M 10S
40,37,28M 23S
42,37,28M 5S
42,38,27M 50S
44,38,27M 39S
44,40,27M 16S
46,40,26M 53S
47,40,26M 53S
47,42,25M 56S
47,43,25M 56S
49,43,25M 43S
49,45,24M 56S
52,45,24M 25S
52,46,24M 0S
52,47,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,47,23M 24S
55,47,23M 6S
56,47,22M 24S
57,47,22M 24S
57,49,22M 14S
59,49,21M 47S
61,49,20M 19S
61,52,20M 3S
64,52,19M 7S
64,54,18M 43S
64,55,18M 22S
64,56,18M 22S
64,58,17M 47S
66,58,17M 32S
66,60,17M 14S
69,60,15M 30S
71,60,15M 5S
73,60,14M 39S
73,63,14M 6S
73,65,13M 36S
75,65,13M 10S
75,67,12M 23S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,67,11M 50S
78,69,11M 10S
80,69,10M 56S
82,69,10M 30S
83,69,10M 16S
83,71,9M 42S
84,71,8M 31S
85,71,8M 31S
85,73,8M 20S
87,73,8M 6S
87,75,7M 41S
89,75,7M 18S
89,77,6M 55S
89,80,6M 18S
90,80,5M 51S
91,80,5M 51S
92,80,5M 35S
93,80,5M 35S
94,80,4M 25S
95,80,4M 25S
95,82,4M 12S
98,82,3M 24S
101,82,2M 49S
101,83,2M 37S
103,83,2M 12S
105,83,1M 47S
105,84,1M 40S
105,85,1M 40S
105,86,1M 11S
105,87,1M 11S
107,87,55S
108,87,34S
109,87,34S
End of 4th quarter,NA,0S
