Atlanta,Charlotte,time_rem
4-5,5-5,48M 0S
0,0,47M 35S
3,0,47M 5S
3,3,46M 4S
6,3,45M 50S
8,3,45M 29S
8,5,45M 0S
8,6,44M 3S
8,7,44M 3S
10,7,43M 54S
10,8,43M 46S
10,9,43M 46S
11,9,43M 42S
12,9,43M 42S
14,9,43M 8S
14,11,42M 58S
16,11,42M 40S
16,13,42M 21S
16,15,41M 10S
16,17,40M 44S
18,17,40M 20S
21,17,39M 53S
21,19,39M 30S
23,19,39M 1S
23,21,38M 44S
26,21,38M 22S
26,23,38M 9S
26,25,37M 12S
26,28,36M 35S
29,28,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,31,35M 27S
32,31,35M 3S
32,34,34M 25S
35,34,33M 53S
37,34,33M 9S
37,37,32M 55S
40,37,32M 33S
42,37,31M 54S
42,40,31M 41S
42,42,29M 21S
44,42,29M 7S
44,43,28M 49S
44,45,28M 9S
44,47,27M 54S
44,50,27M 26S
45,50,27M 17S
46,50,27M 17S
46,52,27M 5S
47,52,26M 52S
47,54,26M 22S
47,56,26M 0S
48,56,24M 50S
48,58,24M 28S
50,58,24M 8S
50,59,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,61,23M 32S
53,61,23M 0S
56,61,22M 10S
56,62,21M 24S
56,63,21M 24S
58,63,20M 48S
59,63,20M 20S
61,63,20M 9S
61,64,19M 31S
61,65,19M 31S
63,65,18M 56S
63,66,18M 45S
63,67,18M 45S
63,70,18M 18S
65,70,17M 52S
67,70,17M 10S
67,72,16M 43S
68,72,16M 42S
69,72,16M 42S
69,74,16M 31S
69,77,15M 55S
71,77,15M 38S
72,77,15M 16S
73,77,15M 16S
73,79,14M 54S
76,79,14M 30S
76,82,13M 28S
76,84,13M 15S
76,87,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,87,11M 34S
78,87,11M 34S
78,90,11M 18S
81,90,10M 54S
81,92,10M 9S
83,92,10M 3S
83,93,9M 53S
83,96,9M 15S
83,98,8M 36S
86,98,8M 17S
86,101,7M 51S
89,101,7M 33S
91,101,7M 8S
92,101,7M 8S
92,103,6M 45S
92,105,6M 13S
93,105,6M 6S
94,105,6M 6S
94,106,5M 46S
94,107,5M 46S
95,107,4M 45S
96,107,4M 45S
97,107,3M 48S
98,107,3M 48S
99,107,3M 4S
99,108,2M 23S
99,111,2M 6S
99,112,1M 28S
99,113,1M 28S
101,113,1M 17S
103,113,34S
104,113,19S
105,113,19S
End of 4th quarter,NA,0S
