Miami,Sacramento,time_rem
12-17,12-16,48M 0S
0,0,47M 37S
3,0,46M 44S
5,0,45M 55S
8,0,45M 16S
8,2,44M 59S
8,4,44M 24S
11,4,44M 9S
11,6,43M 57S
13,6,43M 42S
15,6,43M 21S
15,9,43M 12S
17,9,42M 57S
17,10,42M 7S
17,12,41M 46S
17,13,41M 23S
17,14,41M 23S
19,14,41M 10S
20,14,41M 10S
22,14,40M 44S
25,14,39M 15S
25,15,38M 45S
27,15,38M 31S
27,18,37M 1S
28,18,36M 52S
29,18,36M 52S
29,21,36M 38S
30,21,36M 16S
31,21,36M 16S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,21,34M 51S
34,22,34M 28S
34,23,34M 28S
36,23,33M 51S
36,25,32M 55S
38,25,32M 43S
40,25,31M 27S
40,27,31M 16S
40,29,30M 26S
42,29,30M 2S
42,31,29M 30S
42,33,29M 6S
42,35,28M 36S
44,35,27M 47S
44,38,27M 38S
46,38,27M 24S
48,38,27M 8S
49,38,27M 8S
51,38,26M 25S
51,40,26M 10S
53,40,25M 49S
53,41,25M 38S
55,41,25M 29S
55,43,25M 10S
57,43,24M 37S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,43,23M 27S
62,43,23M 9S
62,45,22M 51S
62,47,22M 23S
64,47,21M 59S
64,49,21M 23S
66,49,21M 12S
68,49,20M 48S
70,49,20M 13S
71,49,20M 13S
71,51,20M 3S
74,51,19M 54S
74,53,19M 36S
74,55,18M 35S
76,55,18M 15S
76,58,18M 2S
78,58,17M 21S
78,60,17M 8S
80,60,16M 32S
80,62,16M 18S
80,65,15M 42S
82,65,15M 13S
82,68,14M 58S
84,68,14M 38S
84,71,14M 31S
84,74,13M 58S
87,74,13M 41S
89,74,13M 23S
89,76,12M 48S
89,79,12M 20S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,79,11M 46S
91,81,10M 51S
94,81,10M 35S
96,81,10M 10S
97,81,10M 10S
100,81,9M 43S
100,84,9M 30S
102,84,9M 13S
102,86,8M 4S
105,86,7M 29S
105,89,7M 15S
105,91,6M 45S
107,91,6M 2S
109,91,5M 22S
111,91,4M 50S
111,94,4M 38S
114,94,4M 20S
114,97,3M 9S
116,97,2M 37S
116,99,2M 14S
116,100,2M 14S
116,102,1M 39S
118,102,1M 30S
118,104,1M 17S
118,105,1M 17S
118,108,48S
118,110,26S
End of 4th quarter,NA,0S
