Memphis,New York,time_rem
26-24,26-27,48M 0S
0,0,47M 44S
1,0,46M 54S
1,3,46M 42S
4,3,46M 27S
7,3,46M 1S
9,3,45M 36S
11,3,45M 15S
11,4,44M 28S
11,5,44M 28S
11,6,44M 28S
11,8,43M 54S
11,10,43M 18S
13,10,42M 50S
14,10,42M 20S
15,10,42M 20S
15,12,42M 9S
17,12,41M 51S
19,12,41M 3S
21,12,40M 44S
21,13,39M 54S
21,14,39M 54S
24,14,39M 41S
25,14,39M 25S
25,16,38M 58S
27,16,38M 46S
27,18,38M 32S
29,18,38M 16S
30,18,37M 12S
31,18,37M 12S
33,18,36M 50S
33,20,36M 43S
33,21,36M 43S
35,21,36M 28S
35,22,36M 16S
35,23,36M 16S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,26,35M 42S
37,26,35M 23S
39,26,34M 55S
39,29,34M 29S
42,29,34M 12S
42,31,34M 0S
42,33,33M 43S
44,33,32M 37S
44,35,32M 11S
44,37,31M 37S
47,37,31M 3S
47,39,30M 34S
50,39,29M 56S
50,41,29M 36S
50,43,28M 42S
51,43,28M 33S
52,43,28M 33S
52,44,27M 58S
55,44,27M 34S
55,46,27M 8S
57,46,25M 35S
57,49,24M 55S
60,49,24M 38S
60,51,24M 21S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,53,23M 44S
60,56,23M 26S
61,56,23M 12S
61,57,22M 58S
63,57,22M 35S
65,57,21M 55S
65,58,21M 36S
65,59,21M 36S
68,59,21M 16S
68,61,20M 55S
68,64,20M 22S
70,64,20M 8S
72,64,19M 1S
74,64,18M 32S
76,64,17M 57S
76,66,17M 49S
76,67,17M 33S
78,67,17M 14S
81,67,16M 48S
81,68,16M 28S
81,69,16M 28S
81,71,15M 55S
84,71,15M 36S
84,73,15M 16S
85,73,15M 7S
87,73,14M 44S
87,74,14M 30S
87,75,14M 30S
89,75,14M 18S
89,78,14M 4S
90,78,13M 3S
90,80,12M 43S
90,83,12M 21S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,83,11M 36S
92,85,10M 58S
94,85,10M 43S
96,85,10M 20S
96,88,10M 4S
98,88,9M 37S
98,90,9M 21S
99,90,9M 3S
100,90,7M 16S
101,90,7M 16S
103,90,6M 47S
103,93,6M 25S
106,93,6M 10S
106,96,5M 48S
108,96,5M 33S
108,98,5M 4S
108,100,4M 19S
108,102,3M 39S
109,102,3M 5S
110,102,3M 5S
110,103,2M 19S
110,104,2M 19S
110,105,1M 54S
110,106,1M 54S
112,106,1M 5S
112,108,1M 1S
112,109,1M 1S
112,110,37S
112,111,37S
112,112,37S
113,112,26S
114,112,15S
114,114,8S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
117,114,4M 44S
117,116,4M 26S
117,119,3M 46S
119,119,3M 24S
119,122,3M 12S
121,122,2M 34S
121,124,2M 13S
122,124,1M 53S
124,124,1M 31S
124,127,1M 15S
124,129,26S
125,129,5S
126,129,5S
126,130,4S
126,131,4S
129,131,2S
129,132,1S
129,133,1S
End of 1st overtime,NA,0S
