Milwaukee,Cleveland,time_rem
14-8,10-13,48M 0S
0,2,47M 39S
2,2,47M 28S
2,4,46M 33S
2,6,45M 58S
4,6,45M 30S
4,9,45M 13S
6,9,44M 42S
7,9,44M 7S
7,11,43M 53S
9,11,43M 13S
9,13,42M 22S
11,13,42M 7S
13,13,41M 38S
13,15,41M 21S
14,15,40M 59S
15,15,40M 59S
16,15,40M 59S
16,17,40M 44S
17,17,40M 18S
18,17,40M 18S
18,20,40M 1S
20,20,39M 38S
20,22,39M 12S
22,22,38M 49S
22,25,38M 26S
22,27,37M 34S
22,28,37M 34S
24,28,37M 19S
24,31,37M 4S
26,31,36M 37S
26,32,36M 30S
26,33,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
Jump ball: G. Antetokounmpo vs. J. Allen (B. Portis gains possession),NA,35M 41S
28,33,35M 27S
28,35,34M 45S
30,35,34M 41S
30,37,34M 28S
32,37,34M 11S
32,39,33M 52S
34,39,33M 31S
35,39,33M 10S
37,39,32M 22S
37,41,32M 8S
39,41,31M 59S
42,41,31M 27S
42,43,31M 10S
44,43,30M 52S
44,46,29M 13S
46,46,29M 2S
48,46,28M 7S
48,47,27M 52S
48,48,27M 52S
48,50,27M 30S
48,53,26M 57S
50,53,26M 41S
50,56,26M 25S
53,56,26M 17S
55,56,25M 43S
55,59,25M 8S
57,59,25M 0S
58,59,25M 0S
59,59,24M 37S
60,59,24M 37S
60,61,24M 26S
60,63,24M 19S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,63,23M 18S
63,63,22M 47S
Jump ball: B. Lopez vs. A. Drummond (G. Antetokounmpo gains possession),NA,22M 28S
65,63,22M 0S
65,64,21M 46S
65,65,21M 46S
67,65,21M 34S
67,67,21M 18S
67,69,20M 39S
69,69,20M 26S
71,69,19M 48S
71,72,19M 29S
73,72,19M 14S
73,75,19M 6S
75,75,18M 47S
75,77,18M 27S
75,79,17M 58S
77,79,17M 36S
79,79,17M 2S
81,79,16M 39S
81,81,16M 14S
83,81,15M 57S
86,81,15M 20S
86,82,15M 7S
86,83,15M 7S
Jump ball: D. Garland vs. G. Antetokounmpo (D. Garland gains possession),NA,14M 49S
87,83,14M 23S
88,83,14M 23S
88,85,14M 10S
90,85,13M 57S
92,85,13M 22S
92,86,12M 28S
92,87,12M 28S
92,89,12M 4S
94,89,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,91,11M 36S
94,92,11M 12S
95,92,10M 56S
98,92,10M 24S
98,94,10M 8S
101,94,9M 54S
104,94,8M 34S
104,96,8M 8S
106,96,7M 20S
108,96,6M 18S
108,98,5M 59S
110,98,5M 6S
112,98,4M 25S
112,101,4M 17S
114,101,4M 5S
114,103,3M 48S
114,105,3M 10S
117,105,2M 56S
118,105,2M 38S
119,105,2M 38S
121,105,58S
123,105,38S
End of 4th quarter,NA,0S
