Charlotte,Indiana,time_rem
25-23,21-26,48M 0S
0,0,47M 47S
3,0,47M 27S
3,3,47M 10S
5,3,46M 48S
7,3,46M 8S
7,6,45M 58S
7,8,45M 34S
9,8,45M 16S
9,10,44M 32S
11,10,44M 19S
12,10,43M 51S
13,10,43M 51S
13,12,43M 25S
15,12,42M 47S
17,12,41M 59S
17,14,41M 25S
19,14,41M 9S
19,17,40M 41S
19,20,39M 45S
21,20,39M 28S
23,20,39M 1S
23,22,38M 12S
25,22,37M 53S
26,22,37M 4S
27,22,36M 47S
28,22,36M 47S
28,24,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,26,35M 38S
28,28,34M 24S
28,30,33M 41S
30,30,33M 19S
30,32,33M 10S
30,33,32M 54S
32,33,32M 40S
32,36,32M 28S
34,36,32M 10S
34,38,31M 56S
36,38,31M 45S
36,39,31M 10S
38,39,30M 29S
38,41,30M 20S
40,41,29M 34S
42,41,28M 33S
42,42,28M 28S
44,42,28M 7S
44,44,27M 51S
47,44,27M 28S
50,44,26M 51S
50,46,26M 36S
51,46,25M 48S
54,46,25M 22S
55,46,24M 38S
56,46,24M 38S
57,46,24M 38S
57,48,24M 24S
57,49,24M 24S
60,49,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
Jump ball: B. Biyombo vs. E. Sumner (P. Washington gains possession),NA,23M 38S
61,49,23M 29S
62,49,23M 29S
65,49,23M 9S
65,51,22M 17S
67,51,22M 10S
67,53,21M 22S
68,53,20M 3S
69,53,20M 3S
70,53,20M 3S
70,55,19M 12S
70,57,18M 49S
70,58,18M 25S
72,58,18M 4S
72,61,17M 56S
72,62,17M 35S
74,62,16M 48S
74,63,16M 3S
74,64,16M 3S
76,64,15M 45S
76,66,15M 8S
76,69,14M 46S
79,69,14M 27S
80,69,14M 11S
81,69,14M 11S
82,69,13M 55S
82,71,13M 46S
82,73,12M 47S
82,76,12M 10S
83,76,12M 0S
84,76,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,78,11M 29S
86,78,11M 12S
86,80,10M 44S
88,80,10M 22S
88,82,10M 13S
91,82,9M 51S
93,82,9M 18S
95,82,8M 52S
95,84,8M 38S
95,86,8M 0S
97,86,7M 42S
97,87,6M 57S
97,88,6M 57S
97,91,5M 50S
99,91,5M 36S
101,91,5M 4S
103,91,4M 43S
103,93,4M 6S
105,93,3M 10S
107,93,2M 44S
108,93,2M 44S
110,93,2M 31S
112,93,1M 41S
112,96,42S
114,96,28S
114,97,21S
End of 4th quarter,NA,0S
