San Antonio,Toronto,time_rem
26-27,22-34,48M 0S
3,0,47M 42S
3,2,47M 24S
3,4,47M 3S
6,4,46M 43S
9,4,46M 20S
9,7,46M 8S
11,7,45M 16S
12,7,45M 16S
12,10,45M 2S
14,10,44M 37S
15,10,44M 9S
17,10,43M 45S
17,13,43M 3S
17,15,42M 29S
17,18,41M 48S
17,21,41M 27S
18,21,41M 13S
18,23,40M 14S
21,23,39M 54S
24,23,39M 21S
24,25,39M 6S
24,26,38M 22S
24,27,38M 22S
26,27,38M 11S
27,27,37M 24S
30,27,37M 20S
30,28,37M 2S
32,28,36M 50S
32,30,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,32,35M 41S
32,34,35M 6S
35,34,34M 55S
35,35,34M 13S
35,36,34M 13S
38,36,34M 3S
38,38,33M 49S
40,38,33M 35S
40,41,33M 16S
40,43,31M 1S
42,43,30M 31S
42,46,30M 20S
44,46,29M 57S
44,48,29M 16S
46,48,29M 5S
46,50,28M 40S
49,50,27M 34S
49,53,27M 18S
52,53,26M 1S
54,53,25M 2S
55,53,25M 2S
55,56,24M 49S
57,56,24M 38S
57,57,24M 33S
57,58,24M 33S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,60,23M 42S
58,60,23M 25S
58,62,23M 11S
58,63,22M 6S
58,64,22M 6S
58,65,21M 49S
58,66,21M 49S
61,66,21M 35S
63,66,20M 28S
63,68,20M 15S
64,68,19M 57S
64,70,19M 2S
64,72,18M 35S
65,72,17M 50S
66,72,17M 50S
66,75,17M 36S
68,75,17M 22S
69,75,16M 22S
70,75,16M 22S
71,75,15M 14S
73,75,14M 50S
73,76,14M 39S
76,76,14M 20S
76,78,14M 4S
79,78,13M 51S
79,80,13M 24S
81,80,13M 6S
81,82,12M 50S
82,82,12M 42S
82,85,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,88,11M 31S
85,88,11M 14S
85,90,10M 56S
87,90,10M 42S
87,92,9M 53S
87,95,9M 28S
90,95,9M 6S
90,96,7M 31S
90,97,7M 31S
93,97,7M 15S
93,99,6M 49S
93,101,6M 22S
93,102,6M 1S
93,103,6M 1S
95,103,5M 40S
95,105,4M 54S
97,105,4M 35S
97,108,4M 11S
97,110,3M 30S
99,110,3M 7S
99,112,2M 10S
101,112,1M 50S
102,112,1M 50S
103,112,1M 37S
104,112,1M 37S
Jump ball: D. Murray vs. C. Boucher (R. Gay gains possession),NA,1M 8S
106,112,1M 3S
106,113,37S
106,114,37S
107,114,32S
108,114,32S
109,114,32S
109,115,20S
112,115,15S
112,116,8S
112,117,8S
End of 4th quarter,NA,0S
