Atlanta,Dallas,time_rem
11-13,12-14,48M 0S
0,3,47M 44S
2,3,47M 26S
5,3,46M 57S
7,3,45M 41S
7,5,45M 26S
9,5,45M 12S
9,7,44M 59S
9,10,44M 22S
12,10,44M 12S
12,12,44M 0S
12,14,43M 23S
15,14,42M 31S
17,14,41M 51S
18,14,41M 51S
18,16,41M 35S
20,16,41M 21S
22,16,40M 31S
Jump ball: K. Porziņģis vs. S. Hill (J. Brunson gains possession),NA,40M 17S
22,18,39M 46S
22,20,39M 10S
25,20,38M 52S
25,23,38M 40S
27,23,38M 8S
27,25,37M 51S
27,27,37M 31S
27,28,37M 31S
27,29,37M 9S
27,30,37M 9S
30,30,36M 53S
30,31,36M 34S
30,32,36M 34S
30,33,36M 30S
31,33,36M 10S
32,33,36M 10S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,33,33M 59S
34,33,33M 59S
34,35,33M 45S
34,37,33M 17S
35,37,32M 46S
35,39,32M 35S
38,39,32M 22S
39,39,31M 44S
40,39,31M 44S
42,39,31M 27S
42,42,29M 24S
43,42,29M 9S
44,42,29M 9S
44,44,28M 16S
46,44,28M 3S
46,46,27M 53S
47,46,27M 46S
48,46,27M 46S
48,47,27M 33S
48,48,27M 33S
51,48,27M 16S
53,48,26M 53S
53,50,26M 36S
55,50,26M 13S
55,52,25M 56S
58,52,25M 44S
59,52,25M 33S
60,52,25M 33S
61,52,24M 34S
62,52,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,52,22M 47S
64,53,22M 32S
64,54,22M 32S
66,54,22M 15S
66,56,22M 3S
68,56,21M 42S
68,57,21M 30S
68,58,21M 30S
70,58,21M 7S
70,61,20M 49S
70,63,20M 19S
73,63,20M 7S
75,63,19M 39S
75,66,19M 28S
75,68,18M 53S
77,68,18M 35S
79,68,18M 4S
81,68,17M 30S
81,69,16M 40S
81,70,16M 40S
81,73,16M 4S
83,73,15M 41S
83,74,15M 19S
83,75,15M 19S
83,77,14M 8S
86,77,13M 53S
88,77,12M 47S
88,78,12M 32S
88,79,12M 32S
89,79,12M 16S
90,79,12M 16S
90,81,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,84,11M 43S
90,86,11M 22S
90,88,10M 29S
93,88,10M 7S
93,91,9M 49S
95,91,9M 28S
97,91,8M 57S
97,94,8M 42S
99,94,8M 28S
100,94,8M 28S
100,96,8M 19S
101,96,7M 49S
101,98,6M 55S
101,101,6M 34S
101,104,5M 29S
101,107,5M 1S
102,107,4M 44S
103,107,4M 44S
104,107,4M 44S
104,109,4M 26S
106,109,4M 9S
109,109,3M 47S
109,111,3M 28S
109,113,2M 57S
112,113,2M 3S
112,115,1M 45S
114,115,1M 36S
114,118,1M 18S
117,118,1M 5S
End of 4th quarter,NA,0S
