Charlotte,Orlando,time_rem
7-9,7-10,48M 0S
0,0,47M 43S
0,2,47M 27S
0,4,46M 51S
2,4,46M 39S
2,6,46M 23S
4,6,46M 3S
7,6,45M 34S
9,6,45M 1S
9,8,44M 46S
Jump ball: C. Anthony vs. D. Graham (N. Vučević gains possession),NA,43M 51S
9,11,43M 26S
9,14,42M 48S
12,14,42M 2S
12,16,41M 46S
14,16,41M 21S
17,16,40M 23S
17,18,39M 46S
17,21,39M 10S
19,21,38M 56S
20,21,38M 56S
20,24,38M 9S
21,24,37M 51S
22,24,37M 51S
22,27,37M 33S
24,27,37M 9S
24,28,36M 45S
24,29,36M 45S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,29,35M 44S
26,30,35M 25S
28,30,35M 10S
28,32,35M 0S
28,34,34M 13S
30,34,33M 36S
30,37,33M 9S
30,40,32M 29S
30,41,32M 7S
30,42,32M 7S
32,42,31M 53S
32,44,31M 40S
35,44,30M 4S
35,47,29M 0S
37,47,28M 0S
37,50,27M 38S
40,50,27M 24S
40,51,27M 2S
43,51,26M 46S
43,53,25M 49S
45,53,25M 40S
45,55,25M 25S
48,55,25M 10S
50,55,24M 41S
50,58,24M 26S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,60,23M 38S
51,60,23M 23S
51,62,23M 1S
53,62,22M 49S
53,64,22M 36S
55,64,22M 26S
57,64,21M 17S
57,66,20M 36S
59,66,20M 22S
59,68,19M 51S
59,71,19M 31S
59,72,19M 8S
61,72,18M 58S
64,72,18M 35S
64,74,17M 44S
64,77,17M 4S
66,77,16M 56S
66,80,15M 48S
68,80,14M 58S
70,80,14M 32S
70,82,14M 17S
70,84,13M 42S
73,84,13M 16S
73,86,12M 31S
74,86,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,86,11M 44S
79,86,9M 57S
81,86,9M 11S
83,86,8M 41S
83,88,7M 36S
86,88,7M 24S
87,88,6M 45S
88,88,6M 45S
88,89,6M 23S
88,90,6M 23S
91,90,6M 9S
94,90,5M 22S
96,90,4M 51S
97,90,4M 17S
99,90,3M 59S
99,93,3M 46S
Jump ball: G. Clark vs. B. Biyombo (T. Ross gains possession),NA,2M 53S
102,93,2M 20S
102,96,2M 4S
102,98,1M 31S
104,98,1M 12S
104,101,58S
104,104,8S
106,104,0S
107,104,0S
End of 4th quarter,NA,0S
