Charlotte,Golden State,time_rem
15-17,19-15,48M 0S
0,0,47M 46S
0,3,47M 16S
2,3,46M 55S
4,3,46M 12S
4,5,45M 54S
5,5,45M 43S
6,5,45M 43S
Jump ball: P. Washington vs. K. Looney (L. Ball gains possession),NA,45M 29S
8,5,45M 24S
10,5,44M 45S
10,7,44M 30S
10,9,44M 25S
10,11,44M 4S
10,13,43M 1S
11,13,42M 40S
11,15,42M 26S
14,15,42M 14S
14,17,41M 55S
14,19,41M 16S
15,19,40M 58S
15,21,40M 46S
18,21,40M 25S
18,23,40M 8S
19,23,39M 50S
19,25,38M 47S
22,25,38M 29S
22,27,38M 16S
22,29,37M 59S
22,31,37M 40S
23,31,37M 25S
23,33,37M 12S
26,33,36M 33S
26,36,36M 19S
27,36,36M 2S
28,36,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,36,35M 24S
33,36,34M 45S
33,38,34M 22S
35,38,34M 11S
35,39,34M 1S
37,39,32M 46S
40,39,32M 4S
41,39,30M 42S
43,39,30M 8S
43,41,28M 54S
43,44,28M 21S
43,47,27M 37S
45,47,27M 17S
45,50,26M 58S
45,51,26M 43S
45,52,26M 43S
45,54,26M 21S
47,54,26M 4S
47,55,25M 50S
47,56,25M 50S
47,57,25M 50S
47,59,25M 21S
50,59,24M 59S
50,61,24M 37S
51,61,24M 20S
51,64,24M 4S
51,65,24M 3S
51,66,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,66,23M 13S
54,68,22M 49S
56,68,22M 31S
56,69,22M 17S
56,70,22M 17S
59,70,21M 57S
59,72,21M 46S
62,72,21M 32S
62,74,21M 15S
65,74,21M 7S
67,74,20M 18S
67,76,20M 6S
67,78,19M 40S
69,78,18M 42S
71,78,18M 25S
71,81,18M 12S
71,82,17M 39S
71,83,17M 39S
73,83,17M 23S
73,85,17M 0S
74,85,16M 43S
74,87,16M 29S
77,87,16M 15S
77,89,16M 0S
80,89,15M 47S
80,90,15M 37S
80,91,15M 37S
80,92,15M 37S
80,94,15M 5S
82,94,14M 40S
82,96,14M 25S
84,96,14M 11S
84,99,13M 49S
84,101,13M 28S
84,102,12M 23S
84,103,12M 23S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,103,11M 31S
87,103,10M 59S
88,103,10M 59S
88,105,10M 40S
90,105,9M 59S
90,108,9M 41S
93,108,9M 10S
93,110,8M 27S
95,110,8M 11S
95,112,7M 49S
96,112,7M 35S
98,112,6M 56S
Jump ball: P. Washington vs. B. Wanamaker (G. Hayward gains possession),NA,6M 32S
98,115,6M 17S
99,115,5M 35S
100,115,5M 35S
100,117,4M 51S
101,117,4M 47S
101,119,4M 2S
104,119,3M 50S
107,119,3M 27S
109,119,2M 50S
109,122,2M 35S
109,124,1M 50S
111,124,1M 44S
112,124,1M 28S
113,124,1M 28S
115,124,29S
115,125,23S
115,126,23S
116,126,17S
119,126,14S
119,127,12S
119,128,12S
120,128,9S
121,128,9S
121,129,4S
121,130,4S
End of 4th quarter,NA,0S
