Milwaukee,Washington,time_rem
25-14,14-24,48M 0S
0,0,47M 48S
2,0,47M 33S
2,2,47M 13S
3,2,46M 48S
4,2,46M 48S
4,4,46M 8S
4,6,45M 36S
6,6,45M 21S
6,8,44M 39S
9,8,44M 1S
11,8,43M 39S
11,10,43M 33S
14,10,43M 14S
14,12,42M 16S
16,12,41M 52S
19,12,41M 37S
19,14,41M 18S
21,14,40M 34S
21,16,38M 47S
22,16,38M 35S
23,16,38M 35S
25,16,38M 18S
25,19,38M 5S
27,19,37M 45S
27,20,36M 45S
27,21,36M 45S
30,21,36M 35S
30,23,36M 23S
32,23,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,24,35M 47S
34,24,35M 30S
34,27,35M 13S
37,27,34M 25S
39,27,33M 53S
42,27,33M 32S
42,29,33M 3S
42,31,32M 44S
44,31,32M 0S
44,34,31M 45S
47,34,31M 32S
47,36,31M 6S
49,36,30M 23S
49,37,29M 17S
51,37,29M 4S
51,39,28M 48S
53,39,28M 36S
55,39,28M 13S
55,41,27M 56S
58,41,27M 33S
58,42,27M 24S
58,43,27M 24S
58,44,27M 24S
60,44,27M 8S
62,44,26M 18S
62,46,26M 1S
64,46,25M 40S
64,49,25M 22S
66,49,25M 0S
66,52,24M 53S
69,52,24M 46S
69,55,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,57,23M 41S
70,57,23M 18S
71,57,23M 18S
74,57,22M 51S
74,58,22M 41S
76,58,21M 59S
78,58,21M 25S
78,60,21M 15S
80,60,21M 7S
80,62,20M 50S
82,62,20M 36S
84,62,20M 13S
86,62,19M 49S
87,62,19M 18S
88,62,19M 18S
88,65,19M 9S
88,67,18M 17S
89,67,18M 12S
90,67,18M 12S
90,70,18M 0S
92,70,17M 34S
92,72,17M 11S
92,75,16M 31S
92,78,16M 1S
94,78,15M 39S
94,79,15M 27S
94,80,15M 27S
94,81,14M 57S
94,82,14M 57S
95,82,14M 41S
96,82,14M 41S
96,85,14M 32S
97,85,14M 18S
98,85,14M 18S
98,86,14M 7S
98,87,14M 7S
100,87,13M 33S
100,89,13M 8S
103,89,12M 54S
105,89,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
106,89,11M 51S
107,89,11M 51S
107,92,11M 42S
109,92,11M 26S
111,92,10M 35S
111,95,10M 16S
111,97,9M 50S
111,99,9M 19S
111,101,9M 0S
111,102,9M 0S
111,103,8M 40S
113,103,8M 29S
113,106,8M 14S
113,108,7M 47S
114,108,7M 33S
115,108,7M 33S
115,110,7M 25S
117,110,6M 6S
119,110,5M 31S
119,111,5M 14S
119,112,5M 14S
121,112,4M 43S
121,114,4M 20S
123,114,4M 11S
125,114,3M 43S
125,116,3M 23S
127,116,3M 0S
129,116,2M 27S
129,119,1M 51S
131,119,1M 33S
131,122,1M 2S
133,122,21S
End of 4th quarter,NA,0S
