Orlando,Minnesota,time_rem
7-8,3-10,48M 0S
2,0,47M 37S
2,1,47M 14S
2,2,47M 14S
3,2,47M 3S
4,2,47M 3S
5,2,47M 3S
5,4,45M 56S
5,6,45M 19S
8,6,45M 7S
10,6,44M 32S
10,8,44M 10S
13,8,43M 35S
13,11,43M 14S
15,11,42M 56S
17,11,42M 44S
17,14,41M 25S
19,14,41M 4S
21,14,40M 31S
21,16,40M 11S
22,16,39M 38S
22,18,37M 45S
24,18,37M 9S
25,18,36M 18S
25,21,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,21,35M 41S
27,24,35M 25S
27,27,34M 37S
27,28,34M 10S
27,30,33M 51S
27,32,33M 6S
27,35,32M 33S
27,37,31M 56S
28,37,30M 50S
28,39,30M 42S
28,42,29M 27S
28,45,28M 55S
31,45,27M 51S
31,47,27M 22S
31,49,26M 3S
31,50,26M 3S
31,51,25M 41S
33,51,25M 18S
34,51,24M 4S
35,51,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
35,54,23M 6S
37,54,22M 47S
37,57,22M 34S
40,57,22M 17S
40,59,21M 56S
42,59,20M 29S
44,59,20M 4S
45,59,20M 4S
46,59,19M 42S
46,61,19M 32S
47,61,19M 17S
48,61,19M 17S
48,64,19M 3S
48,66,18M 33S
50,66,18M 20S
50,68,18M 9S
53,68,17M 55S
53,70,16M 57S
55,70,16M 34S
57,70,15M 54S
58,70,15M 28S
59,70,15M 28S
59,73,15M 18S
59,75,14M 44S
61,75,14M 23S
63,75,13M 52S
65,75,13M 21S
65,77,13M 0S
68,77,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
70,77,11M 43S
70,80,11M 27S
72,80,10M 59S
72,81,9M 48S
74,81,9M 26S
74,83,9M 15S
76,83,8M 28S
78,83,7M 57S
78,86,7M 40S
78,87,7M 8S
78,88,7M 8S
78,91,6M 33S
80,91,6M 9S
81,91,5M 31S
83,91,2M 44S
86,91,2M 9S
89,91,1M 34S
89,93,1M 24S
89,94,1M 24S
91,94,1M 1S
91,96,50S
94,96,34S
97,96,0S
End of 4th quarter,NA,0S
