Miami,Cleveland,time_rem
34-30,21-43,48M 0S
0,0,47M 40S
2,0,47M 36S
2,3,46M 30S
3,3,45M 37S
4,3,45M 37S
4,5,45M 4S
7,5,44M 55S
7,8,44M 45S
9,8,44M 30S
9,11,44M 12S
12,11,43M 59S
12,13,43M 48S
14,13,43M 20S
14,15,42M 20S
14,18,41M 39S
14,21,40M 56S
17,21,40M 41S
17,23,40M 28S
20,23,40M 10S
20,25,39M 42S
20,28,39M 7S
20,29,38M 42S
20,30,38M 42S
20,31,37M 52S
23,31,37M 37S
23,34,37M 17S
25,34,37M 5S
25,36,36M 45S
27,36,36M 25S
29,36,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,36,35M 40S
31,37,34M 50S
34,37,34M 41S
34,39,34M 23S
37,39,34M 15S
38,39,33M 56S
39,39,33M 56S
39,42,33M 33S
41,42,32M 44S
43,42,32M 12S
43,43,32M 2S
43,44,32M 2S
45,44,31M 41S
45,47,31M 31S
45,50,31M 5S
48,50,30M 49S
50,50,30M 26S
52,50,29M 42S
54,50,28M 27S
56,50,27M 53S
56,53,27M 35S
59,53,27M 16S
59,55,26M 54S
62,55,25M 57S
63,55,25M 18S
64,55,25M 18S
66,55,24M 46S
66,58,24M 34S
66,60,24M 11S
67,60,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,60,23M 33S
69,62,23M 15S
69,63,22M 36S
72,63,22M 0S
74,63,21M 47S
74,65,21M 28S
75,65,21M 11S
76,65,21M 11S
76,68,20M 58S
78,68,20M 44S
81,68,20M 24S
83,68,19M 51S
86,68,19M 12S
86,71,18M 54S
88,71,18M 42S
88,74,18M 22S
90,74,18M 7S
90,76,17M 14S
90,78,16M 45S
92,78,16M 24S
94,78,15M 19S
94,80,14M 53S
94,81,14M 53S
95,81,14M 15S
96,81,14M 15S
96,84,14M 3S
99,84,13M 34S
99,86,12M 36S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
101,86,10M 15S
102,86,9M 52S
102,89,9M 6S
105,89,8M 47S
105,92,8M 32S
107,92,8M 15S
110,92,7M 18S
112,92,6M 10S
112,94,5M 54S
112,97,5M 30S
114,97,4M 30S
114,98,4M 4S
114,99,4M 4S
116,99,3M 3S
118,99,2M 27S
118,101,2M 6S
121,101,1M 44S
124,101,1M 7S
124,102,1M 0S
124,103,42S
124,104,42S
124,107,8S
End of 4th quarter,NA,0S
