LA Clippers,Utah,time_rem
0-1,1-0,48M 0S
0,3,47M 39S
2,3,46M 59S
2,6,46M 8S
2,7,45M 35S
2,10,45M 24S
5,10,45M 3S
7,10,44M 39S
9,10,44M 2S
10,10,42M 23S
11,10,42M 23S
11,11,41M 23S
11,12,41M 23S
14,12,41M 4S
17,12,39M 30S
19,12,38M 54S
20,12,38M 30S
21,12,38M 30S
24,12,37M 7S
24,15,36M 48S
25,15,36M 22S
25,18,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,18,35M 42S
28,21,34M 52S
30,21,34M 32S
30,23,34M 13S
32,23,33M 43S
33,23,33M 43S
35,23,33M 20S
35,25,32M 57S
35,26,32M 57S
35,28,32M 20S
37,28,31M 40S
37,30,31M 28S
40,30,31M 4S
Jump ball: K. Leonard vs. R. O'Neale (N. Batum gains possession),NA,30M 31S
43,30,30M 28S
43,32,29M 34S
46,32,29M 15S
46,34,29M 6S
46,35,29M 6S
47,35,28M 52S
48,35,28M 52S
48,37,28M 38S
51,37,28M 30S
51,39,28M 19S
51,42,27M 36S
53,42,27M 25S
53,44,27M 1S
54,44,26M 49S
57,44,26M 35S
57,46,25M 22S
57,47,24M 42S
60,47,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,49,23M 26S
60,52,23M 3S
61,52,22M 41S
62,52,22M 41S
62,55,22M 14S
62,57,21M 43S
62,58,20M 56S
62,59,20M 56S
64,59,20M 14S
66,59,19M 36S
66,61,19M 12S
66,64,18M 19S
69,64,17M 56S
69,66,17M 36S
71,66,17M 23S
71,67,17M 14S
71,70,16M 31S
Jump ball: D. Favors vs. I. Zubac (J. Clarkson gains possession),NA,15M 33S
71,72,15M 6S
73,72,14M 41S
73,75,13M 59S
74,75,13M 38S
75,75,13M 23S
76,75,13M 23S
76,76,13M 10S
78,76,12M 45S
79,76,12M 45S
79,79,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,79,11M 2S
81,81,10M 52S
81,82,10M 52S
84,82,10M 37S
84,85,10M 23S
85,85,10M 11S
85,88,9M 51S
85,91,9M 1S
88,91,8M 47S
88,92,8M 35S
88,93,8M 35S
90,93,8M 4S
91,93,8M 4S
91,94,7M 54S
91,95,7M 54S
91,96,7M 19S
93,96,7M 6S
93,98,6M 47S
93,99,6M 13S
93,100,6M 13S
93,103,5M 22S
94,103,5M 8S
95,103,5M 8S
Jump ball: M. Morris vs. D. Mitchell (R. Rondo gains possession),NA,4M 50S
98,103,4M 31S
98,105,4M 12S
100,105,4M 0S
100,107,3M 48S
100,108,3M 10S
100,109,3M 10S
102,109,2M 55S
102,110,1M 48S
103,110,1M 37S
104,110,1M 37S
104,112,1M 19S
106,112,1M 8S
109,112,38S
End of 4th quarter,NA,0S
