Detroit,Orlando,time_rem
8-22,13-18,48M 0S
2,0,47M 35S
2,2,46M 40S
Jump ball: A. Aminu vs. D. Smith (E. Fournier gains possession),NA,46M 22S
5,2,45M 56S
5,4,45M 24S
7,4,45M 10S
7,6,44M 47S
7,8,44M 14S
7,9,43M 45S
7,10,43M 45S
9,10,43M 29S
11,10,42M 42S
11,12,42M 23S
11,13,42M 3S
11,14,42M 3S
11,15,42M 3S
11,18,41M 47S
11,21,41M 11S
13,21,40M 53S
13,23,40M 37S
13,24,40M 37S
15,24,40M 22S
15,26,40M 7S
16,26,39M 45S
17,26,39M 45S
20,26,39M 3S
22,26,38M 26S
22,27,37M 50S
22,28,37M 50S
23,28,36M 40S
24,28,36M 40S
26,28,36M 23S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,30,35M 44S
26,33,34M 50S
27,33,34M 36S
27,34,34M 12S
29,34,33M 51S
29,36,33M 40S
29,38,32M 53S
32,38,31M 50S
35,38,31M 13S
35,40,30M 57S
35,42,30M 28S
35,43,29M 44S
35,44,29M 44S
37,44,29M 28S
37,46,29M 12S
39,46,29M 1S
40,46,28M 42S
41,46,28M 42S
41,47,28M 2S
41,49,27M 33S
44,49,27M 19S
44,50,27M 4S
44,51,27M 4S
44,52,26M 11S
44,53,26M 11S
46,53,25M 0S
46,56,24M 43S
48,56,24M 27S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,58,23M 19S
48,61,22M 47S
50,61,22M 18S
50,63,22M 5S
53,63,21M 38S
53,64,21M 21S
53,65,21M 21S
56,65,20M 47S
59,65,20M 24S
59,68,20M 10S
62,68,19M 45S
65,68,19M 16S
65,71,18M 59S
65,73,18M 11S
65,74,18M 11S
65,75,17M 51S
65,76,17M 51S
66,76,17M 38S
67,76,17M 38S
67,77,17M 15S
67,79,16M 6S
67,81,15M 26S
69,81,14M 45S
70,81,14M 25S
72,81,13M 26S
72,83,13M 13S
74,83,12M 43S
76,83,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,86,11M 39S
76,88,11M 11S
79,88,10M 56S
79,90,9M 39S
81,90,9M 28S
81,92,9M 4S
83,92,8M 8S
84,92,7M 39S
84,94,7M 14S
86,94,6M 56S
86,97,6M 44S
87,97,5M 44S
88,97,5M 44S
88,98,5M 30S
88,99,5M 30S
90,99,4M 22S
91,99,3M 26S
92,99,3M 26S
92,100,3M 16S
92,101,3M 16S
92,103,2M 47S
92,105,2M 6S
93,105,1M 47S
94,105,1M 47S
96,105,46S
End of 4th quarter,NA,0S
