Phoenix,Milwaukee,time_rem
2-1,1-2,48M 0S
0,0,47M 39S
0,3,47M 7S
2,3,46M 16S
2,5,46M 2S
4,5,45M 33S
4,7,44M 43S
4,8,44M 43S
5,8,44M 30S
6,8,44M 30S
8,8,44M 3S
8,10,43M 48S
10,10,43M 32S
10,12,43M 19S
12,12,42M 58S
12,15,42M 36S
14,15,42M 5S
16,15,41M 34S
16,17,41M 22S
18,17,41M 1S
18,18,40M 22S
18,19,40M 22S
20,19,40M 5S
20,21,39M 53S
23,21,39M 43S
25,21,38M 43S
25,23,38M 25S
28,23,38M 6S
28,25,37M 52S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,27,35M 28S
28,29,35M 0S
28,30,35M 0S
30,30,34M 48S
31,30,34M 15S
32,30,34M 15S
34,30,33M 35S
36,30,33M 5S
36,32,32M 46S
36,35,32M 14S
38,35,31M 49S
38,37,31M 34S
38,39,30M 45S
38,41,30M 20S
38,42,30M 20S
38,44,29M 47S
40,44,29M 32S
42,44,28M 52S
42,46,28M 35S
42,48,28M 6S
42,50,27M 44S
44,50,27M 0S
45,50,27M 0S
45,53,26M 19S
45,55,25M 49S
45,58,25M 16S
45,59,24M 9S
45,60,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,60,23M 14S
49,60,22M 56S
49,62,22M 34S
49,63,22M 25S
52,63,22M 3S
52,65,21M 42S
53,65,21M 32S
53,66,21M 4S
53,67,21M 4S
56,67,20M 43S
56,69,20M 26S
58,69,19M 54S
59,69,19M 54S
61,69,19M 34S
Jump ball: M. Bridges vs. P. Tucker (M. Bridges gains possession),NA,19M 19S
63,69,19M 13S
63,71,18M 57S
65,71,18M 38S
65,74,18M 29S
67,74,18M 11S
70,74,17M 22S
70,77,17M 3S
71,77,16M 49S
71,80,16M 23S
73,80,16M 13S
73,81,16M 2S
73,82,16M 2S
76,82,15M 43S
76,85,15M 28S
76,86,14M 37S
76,87,14M 37S
76,90,13M 32S
76,92,12M 56S
76,93,12M 56S
76,94,12M 33S
76,95,12M 33S
76,98,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,99,11M 46S
76,101,11M 18S
79,101,10M 29S
80,101,10M 22S
82,101,9M 14S
82,102,8M 53S
82,103,8M 53S
82,106,8M 25S
84,106,8M 0S
84,108,7M 42S
87,108,7M 21S
87,110,6M 59S
90,110,6M 42S
90,113,6M 18S
91,113,4M 52S
92,113,4M 52S
94,113,4M 6S
94,115,3M 14S
96,115,2M 31S
98,115,2M 0S
98,117,1M 37S
100,117,44S
100,120,30S
End of 4th quarter,NA,0S
