Chicago,Milwaukee,time_rem
2-4,3-3,48M 0S
0,0,47M 43S
3,0,47M 7S
5,0,46M 22S
5,3,46M 5S
5,6,45M 39S
5,9,45M 21S
5,12,44M 53S
7,12,44M 33S
7,14,44M 16S
8,14,43M 31S
8,15,43M 16S
8,16,43M 16S
8,18,42M 45S
8,21,41M 22S
10,21,41M 6S
12,21,40M 38S
12,23,40M 26S
13,23,40M 10S
14,23,40M 10S
14,25,39M 53S
17,25,39M 16S
19,25,38M 5S
21,25,36M 31S
21,27,36M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,27,35M 15S
23,30,35M 0S
23,33,34M 34S
23,34,33M 46S
25,34,33M 21S
25,37,33M 9S
25,39,32M 9S
27,39,31M 54S
27,42,31M 37S
30,42,30M 54S
30,43,30M 42S
32,43,30M 24S
32,46,30M 10S
34,46,29M 57S
34,47,29M 45S
36,47,29M 30S
38,47,29M 2S
38,49,28M 48S
38,51,27M 43S
38,53,27M 5S
38,54,26M 46S
40,54,26M 30S
40,57,26M 5S
40,60,24M 53S
40,61,24M 2S
40,62,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
40,64,23M 38S
40,65,22M 53S
40,66,22M 53S
42,66,22M 37S
42,68,22M 11S
42,69,22M 11S
44,69,22M 1S
44,71,21M 48S
45,71,21M 22S
46,71,21M 22S
46,73,21M 3S
48,73,20M 46S
50,73,20M 7S
50,76,19M 59S
52,76,19M 39S
55,76,18M 54S
56,76,18M 51S
58,76,18M 22S
58,78,18M 5S
58,81,17M 23S
60,81,16M 23S
60,84,16M 8S
60,87,15M 41S
62,87,15M 23S
62,90,15M 8S
62,93,14M 42S
63,93,14M 26S
64,93,13M 53S
65,93,13M 53S
67,93,13M 11S
67,96,12M 55S
70,96,12M 39S
71,96,12M 9S
72,96,12M 9S
75,96,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,97,11M 27S
76,97,11M 17S
76,100,10M 56S
76,103,10M 42S
76,104,10M 25S
76,105,10M 25S
78,105,10M 12S
78,106,9M 57S
80,106,9M 36S
80,108,9M 32S
80,110,8M 50S
80,112,8M 4S
82,112,7M 48S
84,112,7M 29S
84,113,7M 15S
84,114,7M 15S
86,114,6M 37S
86,115,6M 14S
86,116,6M 14S
88,116,4M 58S
89,116,4M 37S
90,116,4M 37S
90,117,3M 33S
90,119,3M 13S
90,121,2M 28S
92,121,2M 10S
92,123,1M 28S
94,123,1M 15S
94,126,53S
96,126,35S
End of 4th quarter,NA,0S
