Utah,LA Lakers,time_rem
42-15,35-22,48M 0S
0,0,47M 33S
3,0,47M 22S
3,2,47M 12S
3,4,46M 46S
6,4,46M 30S
6,5,46M 21S
6,6,46M 21S
9,6,46M 10S
9,9,45M 57S
9,11,45M 32S
11,11,45M 12S
12,11,44M 35S
13,11,44M 35S
13,14,44M 21S
16,14,44M 7S
19,14,42M 56S
19,16,42M 23S
21,16,42M 13S
21,19,42M 1S
21,21,39M 38S
24,21,39M 27S
24,23,39M 12S
24,25,38M 34S
26,25,38M 17S
26,28,38M 9S
28,28,37M 50S
28,30,37M 30S
31,30,37M 19S
31,32,36M 56S
32,32,36M 55S
35,32,36M 46S
35,33,36M 27S
35,34,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,37,34M 30S
35,38,33M 59S
38,38,33M 12S
39,38,33M 12S
39,40,33M 2S
42,40,32M 27S
44,40,31M 56S
44,42,31M 12S
47,42,30M 48S
47,44,30M 15S
47,45,30M 0S
47,48,29M 53S
49,48,29M 36S
49,50,29M 15S
49,51,29M 4S
51,51,28M 2S
51,53,27M 49S
53,53,27M 38S
53,55,27M 17S
53,57,26M 19S
56,57,25M 58S
57,57,25M 47S
57,58,25M 37S
57,59,25M 37S
57,62,24M 56S
60,62,24M 42S
60,65,24M 28S
61,65,24M 7S
62,65,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,67,23M 46S
62,69,22M 45S
64,69,22M 32S
64,71,22M 13S
64,73,21M 56S
67,73,21M 32S
67,75,21M 8S
69,75,20M 34S
69,77,19M 44S
71,77,19M 29S
73,77,18M 24S
74,77,18M 24S
74,80,18M 1S
74,82,17M 39S
74,84,17M 3S
77,84,16M 30S
77,85,16M 16S
77,86,16M 16S
80,86,16M 7S
80,88,15M 49S
80,90,14M 55S
82,90,14M 31S
82,92,14M 16S
82,94,12M 41S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,96,11M 29S
85,96,10M 41S
85,98,10M 28S
87,98,9M 40S
89,98,9M 14S
92,98,7M 19S
94,98,6M 13S
97,98,5M 41S
100,98,4M 28S
100,101,4M 0S
103,101,3M 28S
103,102,3M 5S
105,102,2M 13S
105,103,1M 53S
105,104,1M 53S
105,106,1M 15S
105,108,53S
107,108,36S
110,108,9S
110,110,3S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: E. İlyasova vs. A. Drummond (D. Schröder gains possession),NA,5M 0S
110,113,4M 36S
110,115,4M 10S
113,115,3M 53S
113,116,3M 24S
113,117,3M 24S
113,119,2M 58S
113,120,2M 58S
115,120,2M 7S
115,122,1M 51S
Jump ball: J. Morgan vs. K. Kuzma (J. Morgan gains possession),NA,1M 40S
115,124,1M 10S
115,125,56S
115,126,56S
115,127,40S
End of 1st overtime,NA,0S
