Oklahoma City,New York,time_rem
4-4,5-4,48M 0S
0,0,47M 50S
0,2,46M 38S
2,2,46M 22S
2,4,45M 8S
2,5,44M 30S
2,6,44M 30S
2,8,44M 7S
2,10,43M 10S
5,10,43M 1S
5,11,42M 49S
5,12,42M 49S
7,12,42M 32S
7,14,40M 54S
7,17,40M 28S
8,17,40M 19S
8,19,38M 47S
9,19,38M 38S
10,19,38M 38S
10,21,38M 14S
13,21,38M 4S
13,24,37M 43S
15,24,36M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
17,24,35M 17S
19,24,34M 41S
21,24,34M 21S
23,24,33M 48S
23,26,33M 36S
26,26,31M 23S
28,26,30M 48S
28,28,30M 29S
28,31,29M 58S
28,33,28M 19S
Jump ball: M. Robinson vs. S. Gilgeous,Alexander (A. Rivers gains possession),27M 49S
31,33,27M 26S
31,36,27M 7S
34,36,26M 52S
34,38,26M 33S
36,38,26M 21S
39,38,25M 49S
39,40,25M 19S
42,40,25M 0S
42,42,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
42,43,23M 31S
43,43,23M 19S
44,43,23M 19S
44,45,23M 4S
46,45,22M 52S
46,47,22M 35S
48,47,22M 5S
48,49,21M 53S
50,49,21M 8S
52,49,20M 26S
52,51,19M 37S
54,51,19M 15S
54,53,18M 58S
54,56,17M 35S
57,56,17M 5S
59,56,16M 41S
61,56,15M 56S
61,57,15M 41S
61,58,15M 41S
63,58,15M 16S
63,60,15M 1S
65,60,14M 19S
67,60,13M 48S
68,60,13M 30S
69,60,13M 30S
69,63,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
Jump ball: N. Noel vs. A. Pokusevski (I. Quickley gains possession),NA,11M 40S
69,65,11M 28S
70,65,10M 34S
71,65,10M 34S
73,65,9M 57S
73,68,9M 42S
75,68,9M 29S
75,70,9M 4S
78,70,8M 27S
78,73,8M 4S
80,73,7M 42S
82,73,7M 11S
82,75,6M 20S
84,75,5M 47S
86,75,4M 46S
86,76,4M 34S
89,76,4M 21S
89,78,4M 6S
91,78,3M 48S
91,80,3M 34S
91,81,3M 34S
92,81,3M 18S
92,83,2M 50S
95,83,2M 0S
95,86,1M 42S
96,86,1M 7S
96,87,1M 2S
97,87,1M 1S
98,87,1M 1S
98,88,55S
98,89,55S
99,89,55S
101,89,49S
End of 4th quarter,NA,0S
