Memphis,San Antonio,time_rem
9-6,11-10,48M 0S
0,0,47M 36S
0,2,47M 1S
0,4,46M 37S
2,4,46M 10S
3,4,46M 10S
3,7,46M 1S
3,10,45M 13S
6,10,44M 55S
8,10,44M 29S
9,10,44M 29S
11,10,43M 59S
13,10,43M 38S
13,11,43M 19S
13,12,43M 19S
15,12,42M 58S
15,15,42M 43S
15,17,42M 0S
18,17,41M 46S
20,17,41M 11S
20,20,40M 52S
23,20,40M 37S
23,22,39M 26S
25,22,39M 17S
27,22,38M 18S
27,23,38M 7S
27,24,38M 7S
30,24,37M 45S
30,26,37M 28S
33,26,37M 16S
33,29,36M 50S
33,31,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,33,35M 34S
33,35,35M 12S
35,35,34M 56S
37,35,34M 19S
37,38,34M 2S
39,38,33M 45S
39,40,33M 33S
41,40,33M 12S
43,40,31M 14S
45,40,30M 49S
46,40,30M 49S
47,40,30M 29S
47,42,30M 15S
49,42,29M 36S
51,42,29M 2S
53,42,28M 25S
54,42,28M 0S
55,42,28M 0S
57,42,27M 34S
57,45,27M 19S
59,45,27M 9S
61,45,26M 54S
63,45,26M 7S
63,47,25M 38S
64,47,25M 19S
64,49,25M 7S
64,51,24M 52S
67,51,24M 35S
67,53,24M 31S
69,53,24M 10S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
71,53,23M 22S
72,53,23M 22S
74,53,22M 44S
74,56,22M 28S
74,59,21M 56S
76,59,21M 24S
78,59,21M 10S
79,59,20M 48S
80,59,20M 48S
82,59,20M 4S
82,62,19M 46S
84,62,19M 16S
84,64,18M 58S
84,65,18M 58S
86,65,18M 17S
86,67,17M 38S
86,68,17M 38S
86,71,16M 55S
87,71,16M 39S
88,71,16M 39S
88,73,16M 27S
88,76,15M 39S
88,77,15M 5S
88,78,15M 5S
90,78,14M 21S
93,78,14M 4S
93,80,13M 23S
96,80,13M 4S
96,82,12M 50S
96,83,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,83,11M 28S
101,83,10M 21S
101,84,10M 10S
101,85,10M 10S
101,86,9M 30S
101,87,9M 30S
104,87,9M 14S
106,87,8M 51S
106,89,8M 29S
108,89,7M 30S
111,89,6M 15S
112,89,5M 47S
113,89,5M 47S
116,89,5M 19S
116,91,4M 58S
119,91,4M 37S
121,91,4M 21S
121,94,4M 9S
121,96,3M 39S
123,96,3M 13S
123,98,3M 3S
126,98,2M 42S
126,99,2M 26S
126,100,2M 26S
126,102,2M 6S
128,102,1M 35S
130,102,1M 17S
133,102,48S
End of 4th quarter,NA,0S
