Cleveland,Memphis,time_rem
5-4,2-6,48M 0S
3,0,47M 41S
3,1,46M 56S
3,3,45M 34S
5,3,45M 7S
8,3,44M 19S
8,5,43M 7S
8,7,42M 36S
11,7,42M 12S
11,9,41M 44S
13,9,41M 33S
13,11,40M 48S
13,14,40M 21S
15,14,39M 56S
15,16,39M 37S
15,19,39M 24S
15,21,38M 17S
17,21,37M 15S
17,24,36M 52S
19,24,36M 34S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
19,27,35M 43S
22,27,35M 22S
24,27,34M 47S
27,27,34M 18S
27,29,34M 2S
27,31,33M 14S
27,33,32M 47S
30,33,32M 28S
33,33,31M 55S
35,33,31M 29S
35,35,29M 29S
36,35,29M 7S
36,37,28M 49S
36,39,27M 57S
39,39,27M 37S
39,41,27M 21S
42,41,26M 28S
42,43,26M 16S
44,43,25M 57S
46,43,25M 21S
46,45,25M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,45,23M 26S
48,48,23M 12S
48,50,22M 12S
48,52,21M 33S
51,52,21M 6S
51,55,20M 56S
53,55,20M 41S
53,57,20M 21S
55,57,19M 58S
55,59,19M 31S
57,59,19M 24S
58,59,19M 24S
58,62,19M 1S
58,64,15M 56S
60,64,14M 42S
Jump ball: G. Dieng vs. J. McGee (D. Melton gains possession),NA,13M 53S
60,67,13M 39S
61,67,13M 27S
62,67,13M 27S
65,67,13M 5S
65,68,12M 53S
65,69,12M 53S
67,69,12M 47S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
69,69,11M 46S
71,69,11M 19S
71,72,11M 3S
71,73,9M 51S
71,74,9M 51S
Jump ball: A. Drummond vs. K. Anderson (C. Osman gains possession),NA,9M 33S
73,74,9M 29S
73,76,9M 6S
74,76,8M 46S
75,76,8M 46S
75,78,8M 37S
77,78,8M 16S
77,81,7M 56S
77,83,6M 56S
78,83,6M 26S
81,83,5M 54S
Jump ball: L. Nance vs. D. Melton (D. Dotson gains possession),NA,5M 30S
83,83,5M 28S
83,86,5M 11S
84,86,4M 50S
84,88,4M 37S
86,88,3M 37S
88,88,3M 0S
91,88,2M 27S
91,89,1M 30S
91,90,1M 30S
93,90,10S
94,90,0S
End of 4th quarter,NA,0S
