Phoenix,Utah,time_rem
4-1,2-2,48M 0S
0,0,47M 45S
0,2,47M 37S
2,2,47M 10S
2,3,46M 55S
2,4,46M 55S
2,6,46M 36S
2,8,45M 52S
5,8,45M 27S
8,8,44M 54S
8,9,44M 35S
10,9,43M 25S
10,11,43M 2S
13,11,41M 44S
15,11,40M 24S
15,13,40M 5S
15,14,40M 5S
15,16,38M 53S
15,19,38M 39S
17,19,38M 18S
19,19,37M 23S
19,20,37M 6S
21,20,36M 39S
21,22,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,22,35M 17S
23,24,35M 2S
24,24,34M 58S
26,24,34M 46S
28,24,33M 39S
30,24,32M 59S
30,27,32M 46S
32,27,32M 29S
32,29,31M 36S
34,29,30M 19S
35,29,29M 14S
35,31,28M 51S
38,31,28M 35S
41,31,28M 9S
42,31,27M 47S
43,31,27M 47S
43,33,27M 5S
45,33,26M 50S
48,33,26M 26S
48,34,26M 10S
48,35,26M 10S
48,38,25M 52S
50,38,25M 33S
50,40,25M 15S
53,40,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,43,23M 50S
53,46,23M 14S
55,46,22M 46S
55,49,22M 24S
55,51,21M 53S
57,51,21M 39S
57,52,21M 24S
57,53,20M 48S
57,54,20M 48S
59,54,20M 41S
59,56,20M 26S
62,56,20M 12S
65,56,19M 33S
65,58,18M 51S
67,58,18M 35S
67,60,18M 8S
67,62,17M 42S
70,62,16M 25S
70,63,16M 7S
72,63,15M 56S
74,63,15M 8S
75,63,14M 50S
75,65,14M 38S
75,68,14M 8S
76,68,13M 27S
77,68,13M 27S
80,68,13M 5S
83,68,12M 22S
83,70,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,70,10M 48S
89,70,10M 9S
91,70,9M 17S
91,72,8M 38S
91,75,7M 51S
91,77,7M 15S
94,77,6M 24S
94,80,6M 8S
96,80,5M 50S
96,82,4M 21S
96,83,3M 43S
96,84,3M 43S
96,87,3M 25S
98,87,3M 3S
98,90,2M 49S
98,93,2M 7S
100,93,1M 42S
103,93,1M 11S
103,95,1M 5S
106,95,19S
End of 4th quarter,NA,0S
