Dallas,San Antonio,time_rem
8-7,8-8,48M 0S
3,0,47M 38S
5,0,47M 1S
7,0,46M 35S
7,2,46M 14S
9,2,45M 47S
9,3,45M 41S
9,4,45M 41S
11,4,45M 29S
11,7,44M 20S
14,7,44M 5S
14,8,43M 53S
14,10,43M 7S
15,10,42M 52S
16,10,42M 52S
18,10,42M 27S
18,13,42M 13S
21,13,42M 3S
21,16,41M 29S
21,19,40M 54S
21,22,40M 23S
21,25,39M 52S
23,25,39M 36S
23,28,39M 23S
25,28,39M 12S
27,28,38M 49S
29,28,38M 14S
31,28,37M 58S
31,29,37M 39S
31,30,37M 39S
34,30,37M 25S
34,32,37M 9S
37,32,36M 31S
37,34,36M 14S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,36,35M 39S
40,36,35M 21S
40,38,34M 54S
42,38,34M 41S
43,38,34M 41S
46,38,33M 58S
49,38,33M 36S
49,40,33M 13S
52,40,32M 58S
55,40,31M 59S
56,40,31M 20S
57,40,31M 20S
57,41,30M 47S
59,41,30M 21S
59,43,30M 9S
59,45,29M 12S
61,45,28M 48S
63,45,28M 29S
63,47,27M 57S
64,47,27M 40S
64,49,27M 16S
64,50,27M 0S
64,51,27M 0S
66,51,26M 42S
66,52,26M 30S
66,53,26M 30S
66,56,26M 11S
66,58,25M 29S
68,58,24M 56S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
68,60,23M 39S
70,60,22M 51S
70,62,22M 15S
72,62,21M 14S
72,64,20M 26S
72,66,19M 48S
74,66,19M 27S
76,66,19M 1S
76,69,18M 45S
77,69,18M 34S
78,69,18M 34S
78,71,18M 14S
79,71,17M 57S
80,71,17M 57S
82,71,17M 22S
85,71,16M 48S
86,71,16M 25S
87,71,16M 25S
87,73,16M 7S
87,76,15M 43S
90,76,15M 27S
90,78,15M 9S
93,78,14M 51S
93,79,14M 38S
93,80,14M 38S
93,81,13M 53S
93,83,13M 21S
93,85,12M 44S
95,85,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,85,11M 34S
97,87,11M 29S
98,87,11M 12S
100,87,10M 40S
100,89,9M 53S
100,92,9M 20S
102,92,8M 41S
102,93,8M 23S
102,94,8M 23S
104,94,8M 8S
104,96,7M 43S
106,96,7M 29S
108,96,6M 59S
108,98,6M 46S
110,98,6M 18S
111,98,6M 18S
111,100,5M 59S
111,101,5M 33S
111,102,5M 33S
111,104,4M 56S
113,104,4M 40S
113,105,4M 26S
113,107,3M 52S
113,108,3M 0S
113,109,3M 0S
113,110,2M 8S
113,111,2M 8S
Jump ball: K. Johnson vs. J. Brunson (D. DeRozan gains possession),NA,1M 22S
113,112,1M 3S
115,112,49S
118,112,18S
118,115,16S
119,115,12S
120,115,12S
120,117,6S
121,117,2S
122,117,2S
End of 4th quarter,NA,0S
