Golden State,Memphis,time_rem
22-20,18-20,48M 0S
2,0,47M 43S
5,0,47M 8S
5,2,46M 56S
5,4,46M 32S
7,4,46M 17S
7,6,45M 17S
10,6,44M 50S
10,7,44M 12S
10,9,43M 40S
10,11,43M 9S
12,11,42M 58S
15,11,42M 34S
15,13,42M 19S
15,16,41M 36S
18,16,40M 57S
18,18,40M 39S
18,21,40M 9S
18,23,39M 36S
20,23,39M 17S
22,23,38M 50S
24,23,38M 4S
27,23,37M 37S
27,24,37M 16S
27,25,37M 16S
27,26,37M 16S
30,26,37M 3S
32,26,36M 38S
33,26,36M 15S
34,26,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,28,35M 48S
34,29,35M 48S
34,31,35M 20S
35,31,35M 6S
36,31,35M 6S
37,31,34M 27S
37,32,34M 13S
37,33,34M 13S
37,35,32M 20S
39,35,32M 5S
39,37,31M 56S
41,37,31M 39S
41,39,31M 23S
44,39,30M 28S
45,39,30M 12S
48,39,29M 50S
51,39,29M 20S
52,39,28M 59S
52,40,28M 45S
53,40,28M 45S
54,40,28M 45S
54,42,28M 29S
54,44,27M 55S
56,44,26M 44S
57,44,26M 12S
57,46,26M 1S
59,46,25M 49S
61,46,25M 32S
64,46,25M 5S
67,46,24M 35S
67,48,24M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,49,23M 50S
67,50,23M 50S
67,51,23M 50S
67,53,23M 14S
69,53,22M 33S
71,53,21M 51S
73,53,21M 0S
73,55,20M 47S
75,55,20M 30S
Jump ball: K. Looney vs. J. Valančiūnas (J. Poole gains possession),NA,20M 16S
77,55,20M 14S
77,57,20M 3S
79,57,19M 49S
81,57,18M 44S
81,58,17M 0S
81,59,17M 0S
81,61,16M 35S
84,61,16M 20S
84,62,15M 59S
86,62,15M 4S
87,62,15M 4S
87,64,14M 48S
89,64,13M 57S
89,66,13M 45S
89,69,13M 26S
91,69,13M 6S
91,72,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,72,11M 35S
93,74,11M 23S
95,74,10M 50S
95,76,10M 36S
95,77,10M 4S
97,77,9M 1S
99,77,8M 20S
99,79,8M 7S
99,81,7M 13S
99,82,6M 34S
99,83,6M 34S
100,83,6M 20S
101,83,6M 20S
104,83,5M 53S
104,86,5M 35S
104,88,5M 13S
106,88,4M 56S
109,88,4M 26S
109,91,4M 10S
111,91,3M 52S
111,93,3M 15S
111,96,2M 52S
114,96,2M 34S
114,98,2M 15S
114,100,1M 49S
116,100,1M 37S
116,103,1M 18S
End of 4th quarter,NA,0S
