Phoenix,Denver,time_rem
3-0,0-3,48M 0S
0,0,47M 46S
2,0,47M 26S
2,3,46M 27S
4,3,46M 3S
5,3,45M 21S
6,3,45M 21S
6,6,45M 4S
8,6,44M 42S
11,6,44M 22S
14,6,43M 22S
16,6,42M 40S
16,8,42M 23S
18,8,41M 57S
21,8,41M 37S
21,11,41M 22S
23,11,40M 53S
23,13,40M 45S
23,15,40M 19S
25,15,39M 55S
25,17,39M 33S
28,17,39M 7S
28,19,38M 56S
30,19,38M 45S
30,22,38M 14S
32,22,37M 57S
32,23,37M 40S
34,23,37M 2S
34,25,36M 48S
37,25,36M 40S
37,26,36M 32S
37,27,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,30,34M 23S
39,30,33M 58S
40,30,33M 58S
40,32,33M 40S
40,34,32M 53S
40,35,32M 15S
40,36,32M 15S
43,36,31M 57S
45,36,31M 26S
47,36,30M 58S
49,36,30M 30S
49,39,29M 50S
51,39,29M 30S
51,41,28M 13S
52,41,28M 10S
53,41,28M 10S
53,44,27M 59S
53,46,27M 19S
54,46,27M 4S
55,46,27M 4S
55,49,26M 53S
56,49,25M 51S
57,49,25M 51S
58,49,25M 32S
59,49,25M 32S
59,51,25M 6S
59,52,24M 34S
59,53,24M 34S
59,54,24M 25S
59,55,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,55,23M 3S
62,55,22M 22S
64,55,21M 27S
64,57,21M 18S
66,57,20M 53S
66,58,20M 37S
68,58,20M 24S
70,58,20M 0S
70,61,19M 7S
71,61,18M 19S
71,64,18M 2S
73,64,17M 42S
73,66,16M 38S
76,66,16M 14S
76,68,15M 56S
77,68,15M 38S
78,68,15M 38S
78,70,15M 21S
80,70,14M 59S
80,72,14M 41S
82,72,14M 25S
82,74,13M 59S
85,74,13M 38S
88,74,13M 7S
88,76,12M 11S
90,76,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,76,11M 48S
92,76,11M 48S
94,76,11M 0S
96,76,10M 17S
96,78,9M 51S
96,81,9M 14S
96,83,8M 41S
99,83,7M 31S
99,85,6M 35S
100,85,6M 12S
102,85,5M 26S
104,85,4M 58S
104,87,4M 47S
104,89,4M 17S
106,89,3M 27S
106,92,3M 11S
109,92,2M 43S
109,94,2M 27S
111,94,2M 9S
111,97,1M 58S
114,97,1M 37S
114,99,1M 26S
116,99,25S
116,102,12S
End of 4th quarter,NA,0S
