New York,Milwaukee,time_rem
19-19,23-14,48M 0S
2,0,47M 45S
2,2,47M 23S
4,2,46M 40S
4,3,46M 26S
7,3,46M 3S
9,3,45M 31S
9,5,45M 21S
9,7,45M 2S
11,7,44M 55S
11,10,44M 10S
13,10,43M 53S
13,12,43M 34S
16,12,43M 8S
16,15,42M 46S
16,17,42M 23S
16,19,41M 54S
16,22,41M 36S
16,24,40M 44S
16,26,40M 9S
18,26,39M 47S
18,27,39M 0S
18,28,39M 0S
18,30,38M 23S
19,30,38M 7S
22,30,38M 2S
24,30,37M 3S
24,32,36M 38S
27,32,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,35,35M 49S
29,35,35M 32S
29,38,35M 11S
32,38,34M 29S
35,38,33M 46S
35,39,32M 0S
35,40,32M 0S
37,40,31M 48S
38,40,31M 48S
38,42,31M 36S
40,42,31M 21S
40,44,31M 9S
42,44,30M 15S
42,46,30M 3S
42,48,29M 47S
44,48,29M 30S
44,49,29M 23S
44,50,29M 23S
44,51,29M 23S
44,53,29M 3S
44,54,29M 3S
44,56,28M 47S
46,56,28M 34S
46,58,28M 10S
46,60,27M 20S
49,60,26M 53S
49,63,26M 34S
Jump ball: N. Noel vs. T. Antetokounmpo (E. Payton gains possession),NA,25M 56S
50,63,25M 50S
51,63,25M 50S
51,64,24M 37S
51,65,24M 37S
51,68,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,70,23M 39S
53,70,23M 24S
53,72,23M 15S
53,75,22M 47S
56,75,22M 25S
56,77,21M 33S
58,77,21M 9S
60,77,20M 25S
60,80,19M 48S
60,81,19M 28S
60,82,19M 28S
62,82,19M 12S
62,84,18M 56S
65,84,18M 39S
65,86,18M 7S
66,86,17M 43S
66,88,16M 59S
68,88,16M 47S
70,88,16M 18S
72,88,15M 38S
72,91,15M 22S
74,91,15M 7S
74,93,14M 35S
77,93,14M 16S
77,95,14M 5S
77,97,13M 17S
78,97,12M 48S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,99,11M 24S
78,100,10M 50S
78,101,10M 50S
78,104,9M 34S
80,104,9M 14S
80,107,9M 5S
81,107,8M 23S
81,110,7M 41S
82,110,6M 18S
83,110,6M 18S
83,113,5M 56S
83,116,5M 17S
83,117,5M 17S
84,117,5M 3S
87,117,4M 57S
87,119,4M 43S
87,122,4M 8S
89,122,3M 53S
89,124,3M 21S
91,124,3M 12S
92,124,3M 12S
92,127,3M 0S
92,130,2M 33S
95,130,2M 20S
98,130,1M 52S
98,132,1M 43S
99,132,1M 35S
100,132,1M 35S
101,132,44S
101,134,31S
End of 4th quarter,NA,0S
