Milwaukee,Utah,time_rem
16-10,21-5,48M 0S
0,0,47M 48S
0,3,47M 10S
2,3,46M 30S
4,3,45M 57S
4,6,45M 31S
7,6,45M 18S
7,9,45M 8S
7,11,44M 39S
7,14,44M 12S
10,14,43M 54S
13,14,43M 20S
15,14,42M 49S
15,16,42M 39S
15,18,41M 38S
15,19,41M 38S
18,19,41M 22S
18,21,41M 11S
18,22,41M 11S
20,22,40M 53S
22,22,39M 55S
22,24,39M 34S
24,24,39M 7S
24,27,38M 45S
24,30,38M 17S
24,33,37M 51S
27,33,37M 34S
29,33,37M 0S
29,34,36M 53S
29,35,36M 53S
31,35,36M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,37,35M 37S
33,37,34M 38S
33,39,34M 21S
35,39,32M 55S
35,41,32M 31S
36,41,32M 18S
37,41,32M 18S
37,43,32M 0S
38,43,31M 48S
38,45,31M 31S
38,48,31M 7S
38,51,29M 21S
40,51,28M 40S
40,53,28M 27S
42,53,27M 44S
42,55,27M 21S
45,55,27M 8S
47,55,26M 41S
47,58,26M 28S
47,61,25M 59S
50,61,25M 40S
50,62,25M 30S
50,63,25M 30S
50,64,25M 30S
52,64,25M 2S
52,67,24M 57S
52,69,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,69,23M 30S
54,71,22M 39S
56,71,22M 23S
58,71,21M 50S
59,71,21M 50S
59,72,21M 26S
59,74,20M 58S
59,76,20M 2S
59,77,20M 2S
60,77,19M 54S
62,77,19M 28S
62,78,19M 17S
62,79,19M 17S
62,81,18M 33S
64,81,18M 11S
67,81,17M 37S
67,83,17M 23S
67,84,17M 7S
67,85,17M 7S
68,85,16M 53S
68,87,16M 34S
68,89,15M 39S
69,89,15M 28S
69,90,15M 14S
71,90,15M 3S
71,91,14M 44S
74,91,14M 33S
74,93,14M 11S
76,93,13M 53S
77,93,13M 53S
80,93,13M 4S
80,95,12M 46S
80,96,12M 15S
81,96,12M 6S
82,96,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,96,11M 44S
84,98,11M 26S
85,98,11M 16S
85,99,10M 19S
85,100,10M 19S
87,100,10M 3S
88,100,10M 3S
88,103,9M 54S
90,103,9M 34S
90,104,9M 22S
90,105,9M 22S
91,105,7M 58S
92,105,7M 58S
94,105,7M 11S
94,106,6M 53S
94,107,6M 53S
94,108,6M 37S
94,110,6M 2S
95,110,5M 52S
96,110,5M 52S
96,112,5M 16S
98,112,5M 5S
98,114,4M 47S
99,114,4M 14S
99,116,4M 2S
99,118,3M 45S
102,118,3M 37S
Jump ball: R. Gobert vs. G. Antetokounmpo (B. Bogdanović gains possession),NA,3M 4S
102,120,2M 56S
104,120,2M 39S
104,121,2M 22S
104,122,2M 22S
107,122,2M 13S
108,122,1M 53S
109,122,1M 53S
111,122,1M 36S
111,125,1M 18S
113,125,1M 13S
115,125,48S
115,126,45S
115,127,45S
115,128,37S
115,129,37S
End of 4th quarter,NA,0S
