Miami,Detroit,time_rem
40-32,20-52,48M 0S
0,0,47M 39S
3,0,47M 22S
5,0,46M 6S
5,2,45M 44S
7,2,45M 24S
7,5,45M 12S
10,5,45M 0S
13,5,44M 28S
13,6,43M 42S
13,7,43M 42S
15,7,43M 28S
17,7,42M 52S
17,8,42M 25S
17,9,42M 25S
20,9,41M 41S
22,9,39M 57S
25,9,39M 27S
25,11,39M 8S
27,11,38M 51S
27,13,37M 6S
29,13,36M 50S
32,13,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,13,35M 30S
35,15,35M 17S
37,15,35M 0S
37,18,34M 43S
39,18,34M 28S
39,20,34M 20S
39,21,33M 50S
39,22,33M 50S
39,24,33M 5S
41,24,32M 53S
42,24,32M 53S
42,26,32M 11S
45,26,31M 49S
45,28,31M 35S
45,30,31M 10S
45,31,31M 10S
47,31,30M 16S
49,31,30M 0S
50,31,30M 0S
51,31,29M 34S
52,31,29M 34S
52,33,29M 17S
54,33,29M 1S
56,33,28M 28S
56,35,28M 20S
56,37,27M 56S
58,37,27M 9S
58,38,26M 56S
60,38,26M 39S
62,38,26M 26S
63,38,26M 26S
64,38,26M 6S
64,41,25M 53S
65,41,25M 49S
66,41,25M 5S
66,44,24M 51S
69,44,24M 41S
69,46,24M 30S
69,47,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
71,47,23M 33S
71,48,22M 26S
71,49,22M 26S
71,52,21M 37S
73,52,21M 24S
75,52,20M 32S
75,55,20M 19S
77,55,20M 11S
77,57,18M 52S
77,59,18M 5S
77,61,17M 27S
78,61,17M 14S
79,61,17M 14S
79,63,16M 57S
79,64,16M 57S
81,64,16M 36S
84,64,16M 9S
86,64,15M 35S
89,64,14M 40S
91,64,14M 8S
91,66,13M 57S
93,66,13M 47S
93,68,13M 31S
93,71,13M 5S
95,71,12M 22S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,71,11M 13S
97,72,11M 1S
100,72,10M 47S
100,74,10M 39S
100,77,9M 33S
100,79,8M 33S
102,79,7M 44S
102,81,7M 0S
102,83,6M 28S
102,85,6M 14S
105,85,5M 52S
107,85,5M 12S
107,87,4M 52S
109,87,4M 40S
110,87,4M 40S
110,90,4M 24S
112,90,4M 7S
112,92,3M 56S
112,94,3M 30S
113,94,2M 42S
114,94,2M 42S
114,97,2M 19S
116,97,1M 55S
116,98,1M 50S
116,100,1M 39S
118,100,1M 1S
118,101,50S
118,102,50S
118,105,39S
120,105,17S
120,107,4S
End of 4th quarter,NA,0S
