Houston,Phoenix,time_rem
14-40,38-15,48M 0S
0,3,47M 37S
3,3,47M 21S
3,5,47M 5S
5,5,46M 22S
6,5,46M 7S
9,5,45M 36S
9,8,45M 27S
12,8,45M 9S
12,10,44M 38S
14,10,44M 14S
Jump ball: D. Booker vs. J. Wall (C. Paul gains possession),NA,43M 53S
14,11,43M 48S
14,12,43M 48S
17,12,43M 23S
17,15,43M 1S
17,18,42M 4S
17,20,41M 40S
19,20,41M 30S
21,20,41M 15S
21,22,40M 57S
23,22,40M 22S
23,24,40M 9S
25,24,39M 53S
25,26,39M 31S
25,28,39M 22S
25,29,38M 59S
25,30,38M 59S
27,30,38M 15S
27,33,37M 52S
27,35,37M 19S
29,35,37M 1S
29,38,36M 50S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,38,35M 43S
31,38,35M 43S
31,41,34M 46S
31,42,34M 29S
33,42,34M 7S
36,42,33M 27S
36,45,33M 12S
36,48,31M 58S
36,51,31M 25S
38,51,31M 4S
38,54,30M 53S
39,54,30M 37S
40,54,30M 37S
42,54,29M 43S
42,57,29M 37S
43,57,29M 29S
44,57,29M 29S
44,59,28M 45S
44,62,28M 24S
46,62,28M 0S
46,65,27M 30S
46,66,27M 17S
46,67,27M 17S
46,70,26M 48S
49,70,26M 41S
49,72,26M 20S
52,72,26M 11S
52,75,25M 55S
55,75,25M 38S
55,78,25M 14S
58,78,24M 56S
58,81,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,81,23M 35S
63,81,23M 6S
63,84,22M 48S
65,84,21M 43S
65,86,21M 26S
67,86,21M 9S
68,86,21M 9S
68,88,20M 48S
70,88,20M 21S
72,88,19M 50S
75,88,18M 47S
75,91,18M 22S
77,91,18M 7S
80,91,17M 29S
80,94,17M 15S
81,94,16M 27S
82,94,16M 27S
82,97,15M 33S
83,97,15M 19S
83,99,15M 3S
86,99,14M 9S
86,101,13M 33S
86,103,13M 0S
88,103,12M 36S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,106,11M 45S
90,106,11M 8S
90,109,10M 35S
93,109,10M 19S
96,109,9M 54S
98,109,9M 18S
98,112,9M 3S
100,112,8M 4S
103,112,7M 42S
103,114,6M 40S
106,114,6M 18S
108,114,5M 45S
109,114,5M 45S
109,116,5M 33S
109,118,4M 34S
109,120,4M 20S
111,120,3M 48S
111,122,3M 4S
113,122,2M 52S
115,122,2M 18S
115,123,1M 0S
116,123,44S
116,124,28S
118,124,22S
118,125,18S
118,126,18S
119,126,2S
120,126,2S
End of 4th quarter,NA,0S
