Orlando,Portland,time_rem
9-16,13-10,48M 0S
2,0,47M 39S
2,2,46M 38S
4,2,45M 41S
4,4,45M 2S
4,7,44M 43S
4,9,44M 8S
6,9,44M 0S
6,12,43M 50S
8,12,43M 15S
9,12,43M 15S
9,14,42M 59S
9,15,42M 59S
11,15,42M 33S
11,17,41M 21S
11,20,40M 16S
11,21,39M 24S
11,22,39M 24S
11,23,39M 24S
13,23,38M 32S
13,24,38M 14S
13,27,38M 8S
13,28,37M 34S
15,28,37M 13S
15,31,37M 0S
17,31,36M 46S
19,31,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
19,33,35M 44S
20,33,35M 25S
21,33,34M 46S
21,36,34M 25S
23,36,33M 46S
23,38,32M 19S
23,40,31M 47S
25,40,31M 8S
28,40,30M 49S
28,42,30M 34S
28,45,30M 12S
31,45,28M 55S
31,47,28M 32S
33,47,28M 7S
34,47,27M 17S
35,47,27M 17S
36,47,26M 42S
38,47,25M 35S
38,50,25M 21S
41,50,24M 40S
43,50,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
43,52,23M 44S
43,54,23M 3S
44,54,22M 47S
44,57,22M 29S
47,57,22M 4S
47,60,21M 51S
49,60,21M 31S
51,60,20M 32S
51,62,20M 19S
51,64,19M 44S
51,67,19M 11S
54,67,18M 48S
56,67,18M 10S
56,68,17M 57S
56,69,17M 57S
56,70,17M 57S
58,70,17M 43S
61,70,17M 14S
63,70,16M 35S
63,71,15M 42S
63,72,15M 42S
63,75,15M 18S
63,78,14M 24S
66,78,14M 2S
68,78,13M 39S
68,81,13M 21S
71,81,12M 55S
71,84,12M 34S
73,84,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,84,11M 25S
76,86,11M 2S
76,87,11M 2S
76,90,10M 33S
79,90,10M 21S
79,93,9M 6S
81,93,8M 46S
82,93,8M 46S
82,94,8M 26S
82,95,8M 26S
84,95,6M 42S
84,96,6M 0S
84,97,6M 0S
84,98,5M 3S
84,99,5M 3S
86,99,4M 51S
86,101,4M 32S
89,101,4M 13S
91,101,2M 43S
91,104,2M 19S
91,106,1M 49S
92,106,1M 4S
93,106,1M 0S
94,106,1M 0S
96,106,12S
97,106,12S
End of 4th quarter,NA,0S
