Philadelphia,Washington,time_rem
3-1,1-3,48M 0S
0,0,47M 40S
2,0,47M 16S
2,2,47M 4S
4,2,46M 11S
6,2,45M 45S
6,3,45M 42S
6,4,45M 42S
8,4,45M 28S
10,4,45M 3S
11,4,44M 22S
12,4,44M 22S
14,4,43M 49S
14,5,43M 40S
16,5,43M 28S
16,8,43M 15S
17,8,42M 59S
18,8,42M 59S
18,9,42M 7S
18,10,42M 7S
20,10,41M 15S
20,12,40M 52S
20,15,40M 38S
21,15,40M 36S
21,17,39M 47S
24,17,39M 34S
24,18,38M 59S
26,18,38M 28S
26,20,38M 18S
26,21,38M 18S
26,23,37M 52S
29,23,37M 37S
29,25,37M 23S
29,27,36M 55S
29,28,36M 21S
31,28,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,30,35M 40S
34,30,34M 59S
34,33,34M 43S
37,33,34M 28S
37,35,34M 18S
38,35,33M 53S
39,35,33M 53S
39,37,33M 5S
42,37,32M 52S
42,39,32M 17S
43,39,31M 59S
46,39,31M 25S
46,40,31M 7S
46,41,31M 7S
46,43,30M 40S
48,43,29M 40S
49,43,29M 40S
49,45,29M 16S
51,45,29M 7S
51,46,28M 57S
51,47,28M 57S
51,49,28M 24S
54,49,28M 11S
54,51,28M 0S
56,51,27M 47S
56,54,26M 51S
56,56,26M 18S
57,56,25M 17S
58,56,25M 17S
58,58,24M 57S
58,60,24M 42S
61,60,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,63,23M 26S
61,66,22M 37S
63,66,22M 2S
65,66,21M 15S
67,66,20M 33S
67,68,20M 27S
69,68,19M 59S
69,70,19M 47S
69,72,19M 16S
69,73,19M 16S
72,73,19M 4S
72,74,17M 52S
72,75,17M 52S
72,77,17M 17S
73,77,17M 17S
74,77,16M 39S
74,80,16M 28S
74,82,15M 30S
76,82,15M 10S
76,84,14M 24S
76,85,14M 1S
76,86,14M 1S
78,86,13M 16S
78,88,13M 7S
78,89,12M 47S
78,90,12M 47S
78,91,12M 30S
78,92,12M 30S
80,92,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,92,11M 52S
82,92,11M 52S
83,92,11M 17S
84,92,11M 17S
84,93,10M 37S
87,93,10M 9S
89,93,9M 47S
90,93,9M 29S
90,94,9M 20S
90,95,9M 20S
92,95,8M 56S
94,95,8M 43S
94,97,8M 24S
94,98,7M 53S
94,99,7M 53S
97,99,7M 37S
97,100,7M 11S
97,101,7M 11S
99,101,6M 54S
99,103,6M 33S
102,103,6M 15S
102,106,5M 24S
104,106,4M 46S
Jump ball: B. Simmons vs. D. Gafford (S. Curry gains possession),NA,4M 26S
106,106,4M 15S
106,108,3M 26S
108,108,3M 15S
109,108,2M 47S
109,110,2M 32S
110,110,2M 28S
110,112,2M 13S
111,112,2M 7S
111,113,1M 46S
111,115,1M 16S
112,115,1M 8S
112,118,45S
112,119,27S
112,120,27S
114,120,22S
114,121,21S
114,122,7S
End of 4th quarter,NA,0S
